69
idx	RT	PRT	ST	amb_id
68	11736.98	48447.90	600.00	6
67	11530.43	11530.43	600.00	5
66	11858.95	48935.81	600.00	4
65	11621.59	11621.59	600.00	9
64	15093.86	21093.86	600.00	5
63	11655.04	13155.04	600.00	2
62	12832.15	57328.62	1285.07	1
61	10324.30	41297.20	600.00	5
60	14273.12	57092.48	600.00	9
59	11575.64	47802.57	600.00	4
28	5433.54	21734.17	2885.22	6
27	5382.14	5382.14	600.00	5
26	5652.76	7152.76	600.00	4
25	5990.67	7490.67	600.00	0
24	4025.95	4025.95	600.00	1
23	3782.98	16631.91	600.00	4
22	3628.82	14515.27	600.00	1
21	3098.35	12393.41	1594.75	0
20	5349.49	11349.49	2551.34	7
19	3575.98	14303.93	600.00	9
18	6938.01	27752.05	600.00	7
17	1153.31	4613.24	1305.81	0
16	2648.76	4148.76	600.00	6
15	809.04	3236.15	600.00	9
14	9658.95	38635.79	1204.43	8
13	3409.12	4909.12	600.00	4
0	2969.36	2969.36	600.00	3
1	1167.01	2667.01	600.00	6
2	2077.33	2077.33	600.00	1
3	1622.31	6489.25	600.00	9
4	192.96	6192.96	2254.72	5
5	534.01	2034.01	600.00	8
6	98.58	1598.58	600.00	4
7	845.69	3382.76	600.00	7
8	75.33	1575.33	600.00	2
9	494.88	3479.52	600.00	0
10	3582.57	3582.57	600.00	1
11	1239.67	7239.67	600.00	7
12	4552.16	18208.65	5284.23	2
29	16259.34	16259.34	600.00	3
30	5282.36	21129.46	600.00	1
31	5065.29	21761.17	600.00	0
32	5791.31	7291.31	600.00	4
33	7003.94	7003.94	600.00	1
34	7001.07	29504.27	600.00	6
35	8328.49	9828.49	600.00	0
36	10249.50	42498.00	600.00	4
37	11208.63	44834.54	600.00	1
38	5843.19	5843.19	600.00	7
39	9628.05	9628.05	1810.83	6
40	7053.93	7053.93	600.00	7
41	8297.31	9797.31	600.00	0
42	7628.57	7628.57	600.00	9
43	10211.75	42347.01	600.00	4
44	7352.89	7352.89	600.00	0
45	16006.65	64026.58	600.00	7
46	7730.82	7730.82	600.00	8
47	8966.00	10466.00	600.00	0
48	8789.76	36659.05	600.00	4
49	8707.04	10207.04	600.00	8
50	8633.36	8633.36	600.00	1
51	9067.46	9067.46	600.00	2
52	8306.99	9806.99	600.00	4
53	11493.20	45972.81	600.00	3
54	11938.67	49254.67	600.00	8
55	8694.26	36277.06	600.00	6
56	9992.79	39971.14	1220.51	0
57	25690.40	104261.61	600.00	6
58	10926.49	12426.49	600.00	2
