37
idx	RT	PRT	ST	amb_id
36	3215.10	3215.10	600.00	7
35	1064.39	1064.39	600.00	11
34	4280.86	5780.86	600.00	2
33	1867.40	1867.40	600.00	3
31	2589.06	10356.24	1417.31	8
30	2333.41	2333.41	600.00	1
24	4613.20	4613.20	1409.07	6
28	5042.27	5042.27	600.00	9
12	1192.63	1192.63	600.00	1
11	318.54	1274.17	600.00	9
10	1667.31	6669.26	600.00	11
9	1065.39	7065.39	1999.79	3
8	324.89	1299.57	2761.93	4
5	1160.70	1160.70	600.00	5
7	2099.23	2099.23	1899.14	2
6	2743.40	10973.59	600.00	7
4	3170.77	14183.09	600.00	8
3	332.87	1331.50	1762.01	0
32	855.04	855.04	600.00	11
2	1660.01	6640.06	3122.13	10
1	2529.65	2529.65	600.00	9
0	1012.89	4051.57	600.00	5
29	435.33	1741.33	600.00	5
14	981.58	5426.30	600.00	0
16	1992.40	9469.62	600.00	8
13	2230.79	2230.79	600.00	7
18	404.13	1904.13	600.00	6
19	229.09	916.36	600.00	11
17	875.83	875.83	600.00	5
15	1476.83	5907.33	600.00	1
20	967.75	967.75	600.00	0
23	2334.89	15339.58	2183.06	3
26	1222.90	2722.90	600.00	4
27	1306.07	5224.28	600.00	11
21	3153.39	14113.57	600.00	8
22	2738.45	4238.45	600.00	10
25	1898.08	1898.08	600.00	2
