69
idx	RT	PRT	ST	amb_id
68	384.36	1537.44	600.00	5
67	579.83	579.83	600.00	13
66	1245.43	4981.72	600.00	7
65	459.92	459.92	600.00	21
64	1196.89	1196.89	600.00	16
63	172.55	172.55	600.00	9
62	127.79	511.18	1295.39	20
61	697.65	2790.60	600.00	19
60	520.41	2081.63	600.00	17
59	1486.61	5946.45	600.00	3
28	292.27	1169.08	1577.04	10
27	2423.04	2423.04	600.00	17
26	1594.22	1594.22	600.00	21
25	520.32	520.32	600.00	1
24	502.38	502.38	600.00	13
23	431.70	1726.79	600.00	9
22	41.58	166.32	600.00	15
21	743.59	2974.37	1591.84	14
20	917.87	917.87	2449.96	8
19	454.35	3317.41	600.00	6
18	514.49	2057.96	600.00	11
17	1867.06	7468.22	1614.47	12
16	1088.36	1088.36	600.00	5
15	484.67	3438.68	600.00	10
14	1142.64	4570.56	1206.81	20
13	836.26	2336.26	600.00	2
0	1347.92	1347.92	600.00	21
1	930.55	2430.55	600.00	6
2	1199.50	1199.50	600.00	1
3	367.17	1468.68	600.00	11
4	1525.61	1525.61	1540.69	4
5	519.14	2019.14	600.00	8
6	771.83	771.83	600.00	9
7	1611.97	7947.89	600.00	0
8	808.49	808.49	600.00	15
9	2313.29	9253.15	600.00	3
10	313.58	313.58	600.00	13
11	2323.32	2323.32	600.00	16
12	373.63	1494.52	2819.93	18
30	548.03	2192.13	600.00	11
31	146.21	584.83	600.00	15
32	828.35	828.35	600.00	9
33	698.34	698.34	600.00	5
34	667.58	4170.31	600.00	4
35	689.01	2189.01	600.00	2
36	648.37	2593.49	600.00	3
37	690.62	4262.49	600.00	6
38	117.15	117.15	600.00	7
39	762.12	762.12	1387.33	0
40	183.44	183.44	600.00	15
41	171.29	171.29	600.00	13
42	423.82	423.82	600.00	1
43	211.23	2344.91	600.00	16
44	625.76	625.76	600.00	20
45	757.18	3028.73	600.00	7
47	208.33	208.33	600.00	5
46	467.29	467.29	600.00	2
48	47.71	1690.83	600.00	14
49	387.26	387.26	600.00	9
29	3314.40	3314.40	600.00	15
50	975.00	975.00	600.00	11
51	669.66	669.66	600.00	8
52	241.38	1741.38	600.00	12
53	430.65	3222.59	600.00	18
54	114.10	1956.40	600.00	6
55	358.92	1435.70	600.00	13
56	590.44	2361.76	1513.94	4
57	164.87	2159.48	600.00	10
58	3109.08	3109.08	600.00	1
