69
idx	RT	PRT	ST	amb_id
68	2068.95	9775.79	600.00	2
67	1865.41	1865.41	600.00	7
66	4487.80	17951.20	600.00	3
65	2068.75	2068.75	600.00	5
64	2056.87	2056.87	600.00	0
63	1000.05	2500.05	600.00	2
62	3208.27	12833.10	1295.39	6
61	701.52	4306.08	600.00	0
60	2424.46	9697.83	600.00	17
59	3494.76	13979.05	600.00	13
28	756.31	3025.22	1577.04	10
27	723.04	2223.04	600.00	12
26	1391.66	2891.66	600.00	0
25	1278.91	1278.91	600.00	9
24	1766.88	1766.88	600.00	5
23	381.46	1525.82	600.00	11
22	250.86	2503.44	600.00	2
21	585.85	2343.41	1591.84	14
20	852.49	852.49	2449.96	6
19	1391.14	5564.56	600.00	17
18	692.07	2768.28	600.00	1
17	1993.97	13975.90	1614.47	13
16	609.62	2109.62	600.00	10
15	484.67	3438.68	600.00	0
14	1708.04	12832.15	1206.81	3
13	836.26	2336.26	600.00	12
0	2280.63	2280.63	600.00	9
1	727.05	2227.05	600.00	8
2	1844.25	1844.25	600.00	5
3	860.27	4941.07	600.00	2
4	1587.47	7587.47	1540.69	15
5	933.67	2433.67	600.00	6
6	241.74	241.74	600.00	3
7	2614.78	11959.11	600.00	16
8	367.27	367.27	600.00	13
9	2254.12	10516.50	600.00	4
10	608.63	2108.63	600.00	14
11	1669.62	7669.62	600.00	7
12	338.81	1355.25	2819.93	8
29	999.58	2499.58	600.00	2
30	895.89	3583.57	600.00	7
31	1331.75	5326.99	600.00	1
32	778.11	778.11	600.00	11
33	777.52	2277.52	600.00	4
34	730.63	2922.52	600.00	15
35	853.20	2353.20	600.00	16
36	2023.28	8093.13	600.00	17
37	3464.95	15359.82	600.00	12
38	3504.02	5004.02	600.00	14
39	2010.29	8010.29	1387.33	3
40	4091.71	5591.71	600.00	8
41	596.01	596.01	600.00	9
42	1954.75	3454.75	600.00	2
43	634.96	2539.85	600.00	7
44	1129.52	1129.52	600.00	0
45	2773.13	12592.50	600.00	4
46	514.63	6514.63	600.00	11
47	1929.67	1929.67	600.00	5
48	245.35	981.40	600.00	1
49	540.92	540.92	600.00	15
50	2578.93	4078.93	600.00	10
51	782.36	782.36	600.00	6
52	340.09	340.09	600.00	13
53	3502.65	15510.60	600.00	16
54	4018.42	16073.68	600.00	9
55	1646.97	6587.88	600.00	7
56	1325.82	11303.28	1513.94	1
57	2078.04	8312.15	600.00	11
58	3651.98	3651.98	600.00	15
