69
idx	RT	PRT	ST	amb_id
67	1111.65	1111.65	600.00	17
68	1026.06	5604.23	600.00	2
66	1781.83	7127.32	600.00	3
65	2074.75	3574.75	600.00	6
62	171.48	685.90	1295.39	0
64	791.60	6791.60	600.00	7
63	185.16	185.16	600.00	9
59	1372.72	5490.87	600.00	5
50	4265.06	5765.06	600.00	12
61	839.14	3356.56	600.00	11
28	1035.23	10140.91	1577.04	7
27	607.21	2107.21	600.00	20
25	86.81	86.81	600.00	21
24	3581.29	3581.29	600.00	17
23	925.79	5203.16	600.00	2
22	41.58	1666.32	600.00	12
21	4235.45	16941.78	1591.84	18
20	3926.13	3926.13	2449.96	10
19	3968.78	15875.13	600.00	3
18	596.48	3885.94	600.00	0
17	2180.58	14722.31	1614.47	15
16	3047.08	4547.08	600.00	16
15	484.67	3438.68	600.00	20
14	1733.10	6932.38	1206.81	14
13	1024.23	1024.23	600.00	13
29	790.30	2290.30	600.00	12
0	1511.20	3011.20	600.00	0
1	4276.71	4276.71	600.00	1
60	607.09	3928.38	600.00	14
2	1697.32	3197.32	600.00	2
3	992.05	3968.20	600.00	3
4	1525.61	1525.61	1540.69	4
5	4564.27	4564.27	600.00	5
6	3915.75	5415.75	600.00	6
7	1896.79	7587.15	600.00	7
8	4730.17	6230.17	600.00	8
9	2494.14	9976.57	600.00	9
10	535.70	2035.70	600.00	10
11	1438.80	7438.80	600.00	11
12	4601.76	24407.04	2819.93	19
26	1543.68	1543.68	600.00	11
30	924.65	3698.62	600.00	13
31	1236.16	6444.65	600.00	0
32	1073.93	1073.93	600.00	21
33	1366.26	2866.26	600.00	4
34	997.09	3988.35	600.00	9
35	366.33	1866.33	600.00	20
36	2221.68	10386.71	600.00	2
39	667.97	667.97	1387.33	12
40	1055.39	2555.39	600.00	14
42	721.01	721.01	600.00	13
43	493.49	3473.96	600.00	20
41	1094.75	1094.75	600.00	11
37	1552.32	6209.27	600.00	1
47	293.27	293.27	600.00	21
44	233.11	233.11	600.00	0
46	937.64	937.64	600.00	6
49	669.58	669.58	600.00	9
52	351.49	351.49	600.00	7
51	1384.34	1384.34	600.00	4
38	3939.29	5439.29	600.00	16
56	861.46	9445.83	1513.94	15
53	285.93	1143.71	600.00	5
55	280.47	2621.86	600.00	0
57	1142.95	6071.81	600.00	20
45	3354.54	13418.15	600.00	21
54	3294.79	13179.17	600.00	13
48	1243.84	6475.37	600.00	8
58	726.74	726.74	600.00	1
