69
idx	RT	PRT	ST	amb_id
68	7416.84	31167.37	600.00	2
67	6755.29	6755.29	600.00	9
66	9116.95	36467.80	600.00	1
65	9408.86	10908.86	600.00	0
64	9049.34	15049.34	600.00	7
63	7702.35	9202.35	600.00	10
62	10367.50	41470.01	1295.39	6
61	10263.18	42552.70	600.00	4
60	6460.34	25841.38	600.00	1
59	8617.35	34469.39	600.00	11
28	3252.19	19008.76	1577.04	7
27	3451.00	3451.00	600.00	3
26	3207.92	4707.92	600.00	4
25	2177.59	3677.59	600.00	10
24	3434.82	4934.82	600.00	6
23	2386.57	11046.27	600.00	2
22	1862.59	7450.37	600.00	3
21	1790.09	13160.35	1591.84	5
20	4108.23	10108.23	2449.96	1
19	4276.11	18604.43	600.00	0
18	1587.51	7850.05	600.00	10
17	1154.25	4616.98	1614.47	4
16	927.25	927.25	600.00	5
15	1023.91	4095.64	600.00	3
14	521.79	8087.14	1206.81	1
13	4091.45	5591.45	600.00	8
0	1347.92	1347.92	600.00	1
1	4650.93	4650.93	600.00	9
2	1714.58	3214.58	600.00	4
3	367.17	1468.68	600.00	11
4	2122.11	2122.11	1540.69	6
5	519.14	2019.14	600.00	8
6	680.74	680.74	600.00	5
7	1611.97	7947.89	600.00	10
8	3604.48	3604.48	600.00	7
9	2165.39	10161.57	600.00	2
10	313.58	313.58	600.00	3
11	1634.52	1634.52	600.00	0
12	3852.35	21409.38	2819.93	11
29	6928.27	6928.27	600.00	9
30	3207.02	14328.10	600.00	2
31	2334.93	9339.74	600.00	5
32	3164.71	4664.71	600.00	10
33	4078.00	4078.00	600.00	5
34	3568.75	15775.01	600.00	8
35	4010.12	5510.12	600.00	4
36	5847.65	24890.59	600.00	6
37	6192.91	24771.65	600.00	3
38	4144.19	5644.19	600.00	0
39	4305.76	4305.76	1387.33	2
40	3600.68	5100.68	600.00	10
41	4468.02	4468.02	600.00	7
42	3939.97	5439.97	600.00	8
43	6656.66	26626.62	600.00	11
44	4734.91	10734.91	600.00	5
45	6655.02	28120.08	600.00	4
46	6433.74	12433.74	600.00	1
47	4855.74	6355.74	600.00	10
48	7284.87	30639.48	600.00	0
49	4216.22	5716.22	600.00	8
50	7005.70	7005.70	600.00	7
51	7335.97	7335.97	600.00	2
52	5190.13	6690.13	600.00	8
53	9146.94	36587.75	600.00	5
54	6274.56	26598.24	600.00	6
55	6563.60	27754.41	600.00	10
56	6186.95	30747.79	1513.94	9
57	7568.82	30275.27	600.00	3
58	9305.77	10805.77	600.00	8
