69
idx	RT	PRT	ST	amb_id
68	1105.21	4420.85	600.00	19
67	302.33	302.33	600.00	21
66	692.34	4269.37	600.00	6
65	1239.79	1239.79	600.00	1
64	685.40	685.40	600.00	10
63	102.50	102.50	600.00	15
62	71.47	285.89	1295.39	2
59	626.95	2507.82	600.00	27
61	168.79	675.17	600.00	3
60	69.56	278.26	600.00	19
28	773.11	3092.45	1577.04	0
23	567.46	2269.85	600.00	11
27	1760.44	1760.44	600.00	15
26	1254.48	1254.48	600.00	5
25	750.17	750.17	600.00	3
24	445.75	445.75	600.00	1
22	152.21	608.86	600.00	19
21	124.67	498.70	1591.84	10
20	300.42	300.42	2449.96	16
19	941.29	5265.16	600.00	26
18	457.69	1830.77	600.00	21
17	1098.43	4393.70	1614.47	22
16	924.03	2424.03	600.00	24
15	432.98	1731.91	600.00	11
12	387.70	1550.82	2819.93	8
14	1510.66	6042.62	1206.81	2
0	1910.47	1910.47	600.00	7
13	1024.23	1024.23	600.00	13
1	727.05	2227.05	600.00	18
2	1199.50	1199.50	600.00	21
3	860.27	4941.07	600.00	22
4	1716.79	1716.79	1540.69	12
5	519.14	2019.14	600.00	8
6	680.74	680.74	600.00	15
7	2301.33	9205.32	600.00	25
8	897.18	897.18	600.00	19
9	1513.29	6053.17	600.00	17
10	707.09	707.09	600.00	1
11	3431.10	3431.10	600.00	18
29	29.31	29.31	600.00	9
30	604.54	2418.16	600.00	21
31	218.20	872.78	600.00	23
32	1228.34	1228.34	600.00	7
33	1624.73	1624.73	600.00	19
34	1386.72	5546.89	600.00	13
36	229.64	918.58	600.00	17
35	1380.98	1380.98	600.00	23
37	750.20	4500.79	600.00	26
38	117.15	117.15	600.00	27
39	250.81	250.81	1387.33	24
40	436.30	436.30	600.00	25
41	491.86	491.86	600.00	11
42	1091.80	1091.80	600.00	1
43	492.93	1971.70	600.00	21
44	378.88	378.88	600.00	4
45	629.55	2518.18	600.00	27
46	69.20	69.20	600.00	2
47	1367.04	1367.04	600.00	5
48	47.71	190.83	600.00	3
49	534.13	534.13	600.00	15
50	920.97	920.97	600.00	17
51	1187.12	1187.12	600.00	16
52	834.25	834.25	600.00	7
53	325.74	2802.97	600.00	26
54	249.03	2496.11	600.00	8
55	432.24	1728.95	600.00	25
56	227.36	909.44	1513.94	22
57	142.55	2070.20	600.00	18
58	4511.27	4511.27	600.00	9
