69
idx	RT	PRT	ST	amb_id
68	210.67	842.68	600.00	17
67	523.61	523.61	600.00	19
66	1081.86	5827.44	600.00	8
65	1965.50	1965.50	600.00	3
64	617.34	617.34	600.00	18
63	362.74	362.74	600.00	11
62	226.94	907.78	1295.39	20
61	168.79	675.17	600.00	5
60	168.95	675.81	600.00	21
59	489.01	1956.05	600.00	7
28	292.27	1169.08	1577.04	0
27	247.83	247.83	600.00	3
26	1254.48	1254.48	600.00	25
25	232.04	232.04	600.00	19
24	221.35	221.35	600.00	13
23	64.47	257.89	600.00	11
22	41.58	166.32	600.00	5
21	124.67	498.70	1591.84	10
20	300.42	300.42	2449.96	16
19	516.07	3564.28	600.00	18
18	1142.43	4569.71	600.00	23
17	1867.06	7468.22	1614.47	2
16	839.56	2339.56	600.00	12
15	484.67	3438.68	600.00	0
14	1142.64	4570.56	1206.81	20
13	330.61	330.61	600.00	11
0	2033.43	2033.43	600.00	3
1	930.55	2430.55	600.00	6
2	1936.79	1936.79	600.00	9
3	957.65	5330.58	600.00	14
4	1525.61	1525.61	1540.69	24
5	519.14	2019.14	600.00	18
6	771.83	771.83	600.00	19
7	1459.43	5837.72	600.00	1
8	808.49	808.49	600.00	5
9	1651.43	6605.74	600.00	21
10	313.58	313.58	600.00	23
11	1952.45	1952.45	600.00	22
12	373.63	1494.52	2819.93	8
29	95.64	95.64	600.00	15
30	667.48	2669.91	600.00	9
31	51.82	207.30	600.00	5
32	304.03	304.03	600.00	1
33	236.15	236.15	600.00	21
34	473.15	1892.61	600.00	11
35	93.26	93.26	600.00	3
36	593.52	2374.07	600.00	17
37	1041.52	4166.08	600.00	7
38	117.15	1617.15	600.00	6
39	248.94	248.94	1387.33	4
40	109.05	109.05	600.00	23
41	1011.39	1011.39	600.00	3
42	401.13	401.13	600.00	21
43	289.50	1158.01	600.00	1
44	592.75	592.75	600.00	20
45	241.50	2465.99	600.00	8
46	296.93	296.93	600.00	22
47	739.01	739.01	600.00	11
48	47.71	190.83	600.00	5
49	758.53	758.53	600.00	13
50	1190.07	1190.07	600.00	25
51	297.16	297.16	600.00	12
53	886.28	5045.12	600.00	14
54	915.72	5162.88	600.00	24
55	300.73	1202.91	600.00	19
56	186.74	746.98	1513.94	0
57	329.38	1317.51	600.00	17
52	600.92	600.92	600.00	1
58	2561.07	2561.07	600.00	15
