69
idx	RT	PRT	ST	amb_id
68	8745.04	34980.17	600.00	7
67	6483.58	7983.58	600.00	6
66	7768.22	32572.90	600.00	10
65	7661.92	9161.92	600.00	0
64	8521.54	8521.54	600.00	2
63	6911.42	8411.42	600.00	8
62	8800.71	41202.84	1295.39	5
61	10053.40	40213.61	600.00	11
60	6068.81	25775.25	600.00	6
59	5457.94	23331.74	600.00	2
28	6286.83	25147.32	1577.04	10
27	3426.39	3426.39	600.00	11
26	1869.81	3369.81	600.00	6
25	2526.99	2526.99	600.00	5
24	2491.74	2491.74	600.00	9
23	2386.57	11046.27	600.00	2
22	1837.99	7351.96	600.00	11
21	1732.16	12928.63	1591.84	3
20	4199.30	4199.30	2449.96	0
19	4312.47	17249.86	600.00	7
18	1193.09	4772.37	600.00	9
17	2222.48	8889.91	1614.47	4
16	988.39	988.39	600.00	11
15	963.99	3855.94	600.00	3
14	3606.07	14424.26	1206.81	8
13	986.08	2486.08	600.00	0
0	1347.92	1347.92	600.00	11
1	4526.53	6026.53	600.00	10
2	1936.79	1936.79	600.00	9
3	367.17	1468.68	600.00	1
4	2122.11	2122.11	1540.69	6
5	519.14	2019.14	600.00	8
6	463.70	1963.70	600.00	0
7	1896.79	7587.15	600.00	7
8	367.27	367.27	600.00	3
9	2165.39	10161.57	600.00	2
10	608.63	2108.63	600.00	4
11	2186.87	8186.87	600.00	5
12	3852.35	21409.38	2819.93	1
29	3499.40	4999.40	600.00	6
30	3772.74	15090.95	600.00	3
31	3144.16	14076.64	600.00	2
32	2608.22	4108.22	600.00	4
33	3827.38	3827.38	600.00	9
34	3395.42	13581.68	600.00	5
35	3006.31	4506.31	600.00	8
36	4128.31	18013.25	600.00	4
37	6168.31	24673.24	600.00	11
38	6182.36	7682.36	600.00	2
39	7420.51	13420.51	1387.33	7
40	3694.99	5194.99	600.00	6
41	3911.28	5411.28	600.00	8
42	3569.09	3569.09	600.00	3
43	3662.97	14651.87	600.00	5
44	4484.29	10484.29	600.00	9
45	3657.37	14629.48	600.00	1
46	6524.82	6524.82	600.00	0
47	4978.99	6478.99	600.00	4
48	4423.02	19192.07	600.00	6
49	3845.34	3845.34	600.00	3
50	5924.14	5924.14	600.00	5
51	5843.78	5843.78	600.00	8
52	6994.85	6994.85	600.00	1
53	7172.44	28689.76	600.00	3
54	8665.19	34660.76	600.00	9
55	4930.16	21220.62	600.00	6
56	6089.97	24359.86	1513.94	4
57	6159.34	26137.37	600.00	10
58	5342.73	5342.73	600.00	11
