69
idx	RT	PRT	ST	amb_id
68	1425.31	7201.22	600.00	0
67	340.80	1840.80	600.00	12
66	1596.18	7884.71	600.00	8
65	1365.00	2865.00	600.00	22
64	426.76	6426.76	600.00	11
63	61.84	1561.84	600.00	4
62	334.78	1339.13	1295.39	2
61	147.37	589.46	600.00	3
60	548.51	3694.05	600.00	20
59	2641.75	10567.02	600.00	1
28	753.65	3014.59	1577.04	0
27	1760.44	1760.44	600.00	5
26	1192.87	2692.87	600.00	14
25	750.17	750.17	600.00	23
24	221.35	221.35	600.00	13
23	139.75	559.00	600.00	21
22	241.21	964.84	600.00	3
21	416.85	1667.41	1591.84	2
20	300.42	300.42	2449.96	6
19	516.07	3564.28	600.00	18
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	839.56	2339.56	600.00	22
15	868.83	4975.33	600.00	12
14	1142.64	4570.56	1206.81	20
13	233.53	233.53	600.00	21
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
2	1199.50	1199.50	600.00	11
3	367.17	1468.68	600.00	21
4	1525.61	1525.61	1540.69	4
5	519.14	2019.14	600.00	18
6	91.72	1591.72	600.00	12
7	1611.97	7947.89	600.00	0
8	179.33	1679.33	600.00	22
9	1513.29	6053.17	600.00	7
10	209.12	1709.12	600.00	2
11	1634.52	1634.52	600.00	10
12	338.81	1355.25	2819.93	8
29	29.31	29.31	600.00	9
30	604.54	2418.16	600.00	11
31	626.47	2505.86	600.00	15
32	369.48	1869.48	600.00	10
33	862.47	2362.47	600.00	22
34	652.61	4110.45	600.00	4
35	199.55	199.55	600.00	1
36	229.64	918.58	600.00	7
37	102.67	1910.69	600.00	18
38	117.15	117.15	600.00	17
39	275.45	275.45	1387.33	2
40	102.35	1602.35	600.00	12
41	491.86	491.86	600.00	21
42	377.81	1877.81	600.00	10
43	476.48	1905.94	600.00	1
44	149.03	6149.03	600.00	3
45	564.26	3757.05	600.00	8
46	315.64	315.64	600.00	20
47	346.20	1846.20	600.00	22
48	259.61	1038.44	600.00	13
49	459.04	1959.04	600.00	4
50	515.45	2015.45	600.00	16
51	720.93	720.93	600.00	6
52	180.85	1680.85	600.00	0
53	430.65	3222.59	600.00	18
54	884.95	3539.79	600.00	7
55	122.36	489.43	600.00	15
56	157.16	6628.63	1513.94	5
57	1274.64	5098.55	600.00	17
58	3104.22	4604.22	600.00	10
