69
idx	RT	PRT	ST	amb_id
68	620.77	2483.08	600.00	23
67	746.55	746.55	600.00	1
66	574.64	3798.54	600.00	2
65	1292.17	1292.17	600.00	17
64	203.13	203.13	600.00	20
63	1556.34	1556.34	600.00	21
62	218.75	874.99	1295.39	12
61	315.46	1261.85	600.00	9
60	655.14	2620.57	600.00	13
59	880.58	5022.32	600.00	16
28	629.05	2516.20	1577.04	12
26	1254.48	1254.48	600.00	15
25	1178.03	1178.03	600.00	9
24	125.44	1625.44	600.00	2
23	469.14	1876.58	600.00	3
22	135.97	543.88	600.00	5
21	416.85	1667.41	1591.84	22
19	405.83	3123.31	600.00	6
18	674.00	2696.02	600.00	13
16	146.24	146.24	600.00	3
17	2020.66	8082.64	1614.47	4
15	432.98	1731.91	600.00	21
14	1142.64	4570.56	1206.81	10
13	1357.16	1357.16	600.00	19
29	1530.82	1530.82	600.00	21
0	2033.43	2033.43	600.00	23
30	842.83	3371.30	600.00	23
1	930.55	2430.55	600.00	6
2	1936.79	1936.79	600.00	9
3	992.05	3968.20	600.00	3
4	1525.61	1525.61	1540.69	14
5	519.14	2019.14	600.00	8
6	241.74	241.74	600.00	13
7	1459.43	5837.72	600.00	1
8	808.49	808.49	600.00	5
9	1651.43	6605.74	600.00	11
10	209.12	1709.12	600.00	12
11	1634.52	1634.52	600.00	20
12	373.63	1494.52	2819.93	18
31	18.98	75.92	600.00	5
27	1243.94	1243.94	600.00	19
32	865.80	865.80	600.00	3
33	259.25	259.25	600.00	13
34	1122.49	4489.97	600.00	11
35	563.10	563.10	600.00	1
36	593.52	2374.07	600.00	7
38	117.15	1617.15	600.00	8
39	155.14	155.14	1387.33	22
40	343.80	343.80	600.00	5
41	547.53	547.53	600.00	9
37	623.01	3992.03	600.00	18
43	278.53	1114.10	600.00	3
20	3385.03	3385.03	2449.96	8
44	295.17	295.17	600.00	20
45	629.55	2518.18	600.00	17
46	442.68	442.68	600.00	0
47	430.44	430.44	600.00	13
48	551.83	2207.33	600.00	21
49	850.34	850.34	600.00	23
50	1863.49	1863.49	600.00	19
42	1783.69	1783.69	600.00	5
51	280.63	280.63	600.00	10
52	537.29	537.29	600.00	1
53	467.34	3369.36	600.00	18
54	1716.27	6865.09	600.00	7
55	444.67	1778.67	600.00	15
56	382.02	1528.06	1513.94	14
57	907.43	3629.71	600.00	11
58	3194.64	3194.64	600.00	3
