69
idx	RT	PRT	ST	amb_id
68	5940.39	23761.58	600.00	11
67	5326.57	6826.57	600.00	6
66	5335.71	21342.84	600.00	1
65	4528.74	4528.74	600.00	7
64	3241.83	3241.83	600.00	2
63	3325.97	4825.97	600.00	8
62	4381.15	23524.60	1295.39	9
61	4045.33	17681.31	600.00	10
60	2698.55	12294.21	600.00	8
59	3225.38	12901.52	600.00	7
28	1277.05	5108.22	1577.04	4
27	1259.56	2759.56	600.00	10
26	1775.82	3275.82	600.00	12
25	1791.08	1791.08	600.00	7
24	1118.09	1118.09	600.00	11
23	4363.36	18953.43	600.00	6
22	2107.38	8429.54	600.00	9
21	1841.31	13365.23	1591.84	5
20	3543.83	9543.83	2449.96	1
19	148.36	2093.45	600.00	6
18	1349.87	6899.48	600.00	0
17	1098.43	4393.70	1614.47	2
16	356.04	356.04	600.00	11
15	868.83	4975.33	600.00	12
14	1708.04	12832.15	1206.81	13
13	330.61	330.61	600.00	1
0	2280.63	2280.63	600.00	9
1	727.05	2227.05	600.00	8
2	1844.25	1844.25	600.00	5
3	860.27	4941.07	600.00	2
4	1726.12	7726.12	1540.69	3
5	933.67	2433.67	600.00	6
6	241.74	241.74	600.00	13
7	2138.62	10054.46	600.00	4
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	535.70	2035.70	600.00	0
11	1634.52	1634.52	600.00	10
12	338.81	1355.25	2819.93	8
29	2348.56	2348.56	600.00	3
30	1378.67	7014.67	600.00	0
31	1323.02	5292.10	600.00	11
32	1447.91	1447.91	600.00	13
33	4254.35	5754.35	600.00	8
34	1873.59	8994.36	600.00	2
35	1018.68	2518.68	600.00	10
36	3629.45	14517.78	600.00	7
37	5510.30	22041.21	600.00	11
38	3131.22	4631.22	600.00	12
39	1149.68	7149.68	1387.33	9
40	1653.88	3153.88	600.00	0
41	2092.30	2092.30	600.00	13
42	1353.14	2853.14	600.00	10
43	2166.97	8667.87	600.00	5
44	2333.40	2333.40	600.00	4
45	5017.41	20069.62	600.00	3
46	2332.68	2332.68	600.00	2
47	1804.59	3304.59	600.00	10
48	2381.90	11027.62	600.00	0
49	3445.26	3445.26	600.00	9
50	4629.98	4629.98	600.00	13
51	3913.55	3913.55	600.00	6
52	2741.27	4241.27	600.00	10
53	5298.36	21193.44	600.00	5
54	6514.30	27557.21	600.00	4
55	5597.44	23889.78	600.00	12
56	2424.39	9697.54	1513.94	2
57	3726.83	14907.31	600.00	1
58	7080.11	8580.11	600.00	0
