69
idx	RT	PRT	ST	amb_id
68	848.04	3392.18	600.00	5
67	970.27	970.27	600.00	15
66	692.34	4269.37	600.00	16
65	1129.13	1129.13	600.00	13
64	916.40	916.40	600.00	4
63	1076.73	1076.73	600.00	29
62	300.73	1202.91	1295.39	0
61	276.20	1104.79	600.00	3
60	255.98	1023.90	600.00	23
59	880.58	5022.32	600.00	6
28	773.11	3092.45	1577.04	20
27	1546.50	1546.50	600.00	13
26	1254.48	1254.48	600.00	5
25	750.17	750.17	600.00	3
24	221.35	221.35	600.00	23
23	139.75	559.00	600.00	1
22	152.21	608.86	600.00	29
21	124.67	498.70	1591.84	10
20	961.07	961.07	2449.96	18
19	461.48	3345.91	600.00	26
18	1471.02	5884.10	600.00	15
16	978.60	978.60	600.00	19
17	1867.06	7468.22	1614.47	22
15	432.98	1731.91	600.00	21
14	1510.66	6042.62	1206.81	12
13	233.53	233.53	600.00	1
0	2176.25	2176.25	600.00	25
1	930.55	2430.55	600.00	26
2	1936.79	1936.79	600.00	9
3	367.17	1468.68	600.00	1
4	1596.29	1596.29	1540.69	0
5	1300.18	1300.18	600.00	17
6	771.83	771.83	600.00	19
7	1459.43	5837.72	600.00	11
8	897.18	897.18	600.00	29
9	1513.29	6053.17	600.00	27
10	535.70	2035.70	600.00	20
11	1952.45	1952.45	600.00	2
12	373.63	1494.52	2819.93	8
29	289.73	1789.73	600.00	14
30	574.09	2296.37	600.00	25
31	13.39	53.56	600.00	29
32	1820.45	1820.45	600.00	23
33	815.86	815.86	600.00	9
34	991.26	3965.02	600.00	11
35	935.66	935.66	600.00	19
36	229.64	918.58	600.00	27
37	102.67	1910.69	600.00	28
38	117.15	117.15	600.00	17
39	631.04	631.04	1387.33	10
40	1042.22	1042.22	600.00	29
41	501.39	501.39	600.00	3
42	1117.35	1117.35	600.00	5
43	576.39	3805.55	600.00	2
44	378.88	378.88	600.00	14
45	629.55	2518.18	600.00	7
46	69.20	69.20	600.00	12
47	383.88	383.88	600.00	9
48	517.18	2068.71	600.00	15
49	628.78	628.78	600.00	13
50	920.97	920.97	600.00	27
51	731.85	731.85	600.00	18
52	210.66	210.66	600.00	19
53	430.65	3222.59	600.00	8
54	249.03	2496.11	600.00	28
55	637.02	2548.08	600.00	25
57	998.16	3992.64	600.00	11
58	1059.31	1059.31	600.00	17
56	160.91	643.63	1513.94	12
