69
idx	RT	PRT	ST	amb_id
20	8147.41	14147.41	2449.96	5
36	8236.45	34445.81	600.00	0
66	6081.09	24324.37	600.00	7
59	4045.15	16180.60	600.00	3
50	7095.37	8595.37	600.00	8
38	7612.66	7612.66	600.00	1
29	6568.13	8068.13	600.00	4
45	4186.82	16747.28	600.00	5
51	3856.12	9856.12	600.00	9
65	3379.55	4879.55	600.00	6
19	3464.13	13856.51	600.00	3
10	4180.62	4180.62	600.00	7
18	2883.46	13033.86	600.00	4
26	1869.81	3369.81	600.00	6
28	1474.37	5897.47	1577.04	0
23	1008.51	5534.05	600.00	0
27	1013.27	2513.27	600.00	2
43	622.94	2491.76	600.00	9
14	2179.74	14718.97	1206.81	1
46	550.68	550.68	600.00	2
17	823.36	9293.43	1614.47	9
0	2280.63	2280.63	600.00	9
42	686.60	686.60	600.00	1
13	311.40	1811.40	600.00	0
30	2529.10	11616.39	600.00	6
1	4756.51	4756.51	600.00	3
60	1616.33	7965.33	600.00	6
2	1714.58	3214.58	600.00	4
61	238.76	955.04	600.00	7
15	874.03	4996.11	600.00	0
32	556.36	2056.36	600.00	4
3	615.64	3962.56	600.00	0
62	1556.88	6227.51	1295.39	8
33	1130.91	1130.91	600.00	9
4	2122.11	2122.11	1540.69	6
63	478.43	478.43	600.00	1
5	4564.27	4564.27	600.00	5
64	201.31	201.31	600.00	4
35	772.39	2272.39	600.00	2
6	4676.16	6176.16	600.00	8
7	1967.84	9371.36	600.00	2
8	3604.48	3604.48	600.00	7
67	649.96	2149.96	600.00	4
9	1651.43	6605.74	600.00	1
68	751.08	3004.33	600.00	9
11	1827.41	1827.41	600.00	4
16	4044.45	5544.45	600.00	4
24	3071.70	3071.70	600.00	7
53	285.93	1143.71	600.00	5
31	2732.68	12430.72	600.00	8
49	962.85	962.85	600.00	1
52	790.63	2290.63	600.00	0
47	1334.03	1334.03	600.00	9
12	4969.87	25879.47	2819.93	3
56	642.39	2569.56	1513.94	2
34	2727.69	12410.75	600.00	6
58	1015.20	1015.20	600.00	5
22	4123.66	17994.63	600.00	8
25	4842.50	6342.50	600.00	0
48	1982.93	7931.71	600.00	7
55	1665.87	8163.47	600.00	8
37	3319.91	13279.66	600.00	5
40	3847.42	3847.42	600.00	1
39	3603.58	9603.58	1387.33	7
21	6169.07	24676.27	1591.84	2
41	3718.21	5218.21	600.00	4
57	2559.53	10238.13	600.00	9
54	2631.70	10526.79	600.00	5
44	3792.36	3792.36	600.00	0
