69
idx	RT	PRT	ST	amb_id
68	574.28	2297.10	600.00	1
67	941.55	2441.55	600.00	12
65	1617.09	3117.09	600.00	16
66	2540.21	10160.82	600.00	11
64	962.59	6962.59	600.00	7
62	658.38	8633.52	1295.39	13
60	3273.30	13093.20	600.00	17
63	129.17	129.17	600.00	3
59	1301.76	6707.03	600.00	6
58	4473.84	5973.84	600.00	10
28	325.00	1300.00	1577.04	2
27	1047.74	1047.74	600.00	7
25	478.04	478.04	600.00	1
24	663.10	663.10	600.00	5
23	1104.67	4418.67	600.00	15
22	152.21	608.86	600.00	9
21	585.85	2343.41	1591.84	4
20	649.96	6649.96	2449.96	17
19	941.29	5265.16	600.00	6
18	1349.54	5398.17	600.00	13
17	639.16	8556.65	1614.47	11
16	356.04	356.04	600.00	1
15	518.55	3574.22	600.00	2
14	1708.04	12832.15	1206.81	3
5	1273.70	2773.70	600.00	16
29	1300.39	2800.39	600.00	12
0	2176.25	2176.25	600.00	15
13	836.26	2336.26	600.00	12
1	930.55	2430.55	600.00	16
2	1199.50	1199.50	600.00	11
61	458.95	3335.82	600.00	4
3	860.27	4941.07	600.00	2
4	1525.61	1525.61	1540.69	14
6	680.74	680.74	600.00	5
7	1611.97	7947.89	600.00	0
8	897.18	897.18	600.00	9
9	1513.29	6053.17	600.00	7
10	608.63	2108.63	600.00	4
11	1634.52	1634.52	600.00	10
12	373.63	1494.52	2819.93	8
31	13.39	53.56	600.00	9
30	860.79	4943.16	600.00	10
32	216.74	1716.74	600.00	0
33	2667.21	4167.21	600.00	16
26	1273.32	2773.32	600.00	14
34	1346.47	5385.86	600.00	1
35	1396.47	1396.47	600.00	5
36	1705.82	8323.29	600.00	6
38	2686.13	2686.13	600.00	15
37	3208.37	14333.49	600.00	0
39	319.16	319.16	1387.33	4
40	132.21	132.21	600.00	13
41	709.34	709.34	600.00	9
42	334.22	334.22	600.00	3
43	211.07	844.28	600.00	7
44	675.76	675.76	600.00	12
46	661.95	661.95	600.00	10
47	1164.96	1164.96	600.00	11
45	807.94	3231.78	600.00	17
48	860.23	3440.92	600.00	13
50	1581.57	3081.57	600.00	8
51	2395.59	2395.59	600.00	14
52	522.48	522.48	600.00	7
49	610.47	610.47	600.00	3
56	54.03	216.11	1513.94	2
57	850.42	3401.68	600.00	1
54	3704.52	14818.09	600.00	5
53	4337.20	17348.81	600.00	9
55	723.11	4392.45	600.00	12
