69
idx	RT	PRT	ST	amb_id
68	254.98	1019.92	600.00	17
67	539.59	539.59	600.00	1
66	381.51	1526.04	600.00	19
65	632.47	632.47	600.00	9
64	891.14	891.14	600.00	16
63	102.48	102.48	600.00	5
62	161.02	644.08	1295.39	2
61	267.61	2570.44	600.00	14
60	79.69	318.74	600.00	11
59	2063.53	8254.11	600.00	15
28	291.66	1166.63	1577.04	10
27	766.28	766.28	600.00	1
26	1126.76	1126.76	600.00	21
25	86.81	86.81	600.00	3
24	663.10	663.10	600.00	15
23	471.85	1887.40	600.00	5
22	41.58	166.32	600.00	13
21	416.85	1667.41	1591.84	22
20	300.42	300.42	2449.96	6
19	445.05	3280.20	600.00	16
18	405.19	1620.77	600.00	23
17	1520.10	6080.41	1614.47	0
16	839.56	2339.56	600.00	2
15	484.67	3438.68	600.00	10
12	387.70	1550.82	2819.93	8
14	1142.64	4570.56	1206.81	20
0	1347.92	1347.92	600.00	21
13	1357.16	1357.16	600.00	9
1	930.55	2430.55	600.00	16
2	1936.79	1936.79	600.00	19
3	992.05	3968.20	600.00	23
4	1525.61	1525.61	1540.69	14
5	519.14	2019.14	600.00	8
6	680.74	680.74	600.00	5
7	1459.43	5837.72	600.00	1
8	367.27	367.27	600.00	13
9	1651.43	6605.74	600.00	11
10	313.58	313.58	600.00	3
11	1952.45	1952.45	600.00	12
29	289.73	1789.73	600.00	4
30	448.05	1792.22	600.00	23
31	102.98	411.93	600.00	13
32	368.71	368.71	600.00	11
33	699.18	699.18	600.00	9
34	965.64	3862.57	600.00	3
35	600.02	600.02	600.00	5
36	593.52	2374.07	600.00	17
37	102.67	1910.69	600.00	18
38	117.15	117.15	600.00	7
39	402.70	402.70	1387.33	22
40	315.73	315.73	600.00	13
41	1375.31	1375.31	600.00	23
42	373.78	373.78	600.00	11
43	319.95	1279.78	600.00	1
44	518.16	518.16	600.00	14
45	629.55	2518.18	600.00	7
46	217.48	217.48	600.00	12
47	492.89	492.89	600.00	9
48	47.71	1690.83	600.00	2
49	533.82	533.82	600.00	5
50	515.45	515.45	600.00	19
51	280.63	280.63	600.00	20
52	1085.49	1085.49	600.00	3
53	430.65	3222.59	600.00	18
54	708.75	4335.01	600.00	8
55	303.23	1212.91	600.00	13
56	203.80	815.20	1513.94	0
57	322.67	1290.67	600.00	17
58	2049.66	2049.66	600.00	21
