69
idx	RT	PRT	ST	amb_id
65	2853.27	2853.27	600.00	13
68	298.67	1194.67	600.00	17
67	340.80	340.80	600.00	1
66	399.86	3099.43	600.00	16
64	798.03	798.03	600.00	4
63	103.61	103.61	600.00	9
62	365.51	1462.03	1295.39	10
61	132.15	2028.61	600.00	2
60	599.09	2396.34	600.00	15
59	2625.52	12002.07	600.00	14
28	335.46	7341.82	1577.04	1
27	657.40	2157.40	600.00	0
26	1089.32	2589.32	600.00	4
25	1021.24	1021.24	600.00	5
24	663.10	663.10	600.00	15
23	477.37	1909.46	600.00	19
22	241.21	964.84	600.00	13
19	284.90	2639.61	600.00	18
21	416.85	1667.41	1591.84	2
20	300.42	300.42	2449.96	16
18	457.69	1830.77	600.00	11
17	1867.06	7468.22	1614.47	12
16	964.52	964.52	600.00	3
15	432.98	1731.91	600.00	1
14	1733.10	6932.38	1206.81	14
13	1357.16	1357.16	600.00	9
0	2015.68	3515.68	600.00	4
1	727.05	2227.05	600.00	18
2	1199.50	1199.50	600.00	11
3	1230.57	4922.27	600.00	19
4	2122.11	2122.11	1540.69	6
6	680.74	680.74	600.00	15
7	1611.97	7947.89	600.00	0
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	17
10	313.58	313.58	600.00	13
11	1634.52	1634.52	600.00	10
5	1070.21	2570.21	600.00	18
12	373.63	1494.52	2819.93	8
30	1012.78	4051.14	600.00	17
31	1097.98	4391.92	600.00	11
29	989.93	989.93	600.00	13
32	873.13	873.13	600.00	9
33	630.84	630.84	600.00	19
34	652.18	4108.74	600.00	10
36	593.52	2374.07	600.00	7
35	416.53	1916.53	600.00	0
37	102.67	1910.69	600.00	18
38	3268.10	3268.10	600.00	3
39	275.45	275.45	1387.33	2
40	906.46	906.46	600.00	15
41	393.81	393.81	600.00	5
42	313.77	1813.77	600.00	14
43	122.87	491.49	600.00	19
44	849.15	849.15	600.00	4
45	564.26	3757.05	600.00	18
46	205.38	205.38	600.00	0
47	427.72	427.72	600.00	9
48	47.71	190.83	600.00	13
49	602.00	602.00	600.00	17
50	533.80	2033.80	600.00	16
51	1012.74	1012.74	600.00	6
52	231.60	1731.60	600.00	12
53	430.65	3222.59	600.00	8
54	1061.90	4247.59	600.00	7
57	1057.81	4231.25	600.00	19
58	3997.30	3997.30	600.00	5
55	554.85	2219.39	600.00	13
56	297.09	1188.34	1513.94	0
