69
idx	RT	PRT	ST	amb_id
65	1801.37	1801.37	600.00	11
68	1692.17	8268.67	600.00	12
67	1806.38	1806.38	600.00	3
58	1842.31	3342.31	600.00	6
64	1467.87	1467.87	600.00	2
61	1156.11	4624.42	600.00	13
66	3223.91	12895.64	600.00	1
60	1198.47	6293.88	600.00	10
63	623.27	2123.27	600.00	12
59	1619.22	6476.87	600.00	7
27	1269.85	1269.85	600.00	11
28	1106.28	4425.12	1577.04	12
26	1654.27	1654.27	600.00	1
25	515.37	2015.37	600.00	0
24	663.10	663.10	600.00	15
22	448.13	1792.51	600.00	9
18	1100.55	4402.22	600.00	5
16	887.54	887.54	600.00	11
23	670.00	2680.00	600.00	3
17	558.41	2233.63	1614.47	4
20	1192.43	1192.43	2449.96	6
21	416.85	7667.41	1591.84	13
19	1391.14	5564.56	600.00	7
10	1186.81	1186.81	600.00	9
15	484.67	3438.68	600.00	0
14	1142.64	4570.56	1206.81	10
0	2015.68	3515.68	600.00	4
13	330.61	330.61	600.00	11
1	930.55	2430.55	600.00	6
2	1844.25	1844.25	600.00	5
3	992.05	3968.20	600.00	3
62	875.48	3501.93	1295.39	4
4	1525.61	1525.61	1540.69	14
6	771.83	771.83	600.00	9
7	1967.84	9371.36	600.00	12
8	367.27	367.27	600.00	13
9	1651.43	6605.74	600.00	1
11	1952.45	1952.45	600.00	2
12	373.63	1494.52	2819.93	8
5	1273.70	2773.70	600.00	6
31	304.04	1216.17	600.00	9
29	2148.05	3648.05	600.00	14
33	538.23	2038.23	600.00	2
30	1490.46	5961.83	600.00	3
34	690.32	2761.27	600.00	5
35	1396.47	1396.47	600.00	15
32	882.52	2382.52	600.00	10
36	2023.28	8093.13	600.00	7
37	4491.32	17965.29	600.00	9
39	303.17	6303.17	1387.33	13
40	548.68	2048.68	600.00	0
41	1435.34	2935.34	600.00	4
38	1618.08	3118.08	600.00	8
43	338.80	1355.20	600.00	11
42	253.37	1753.37	600.00	10
44	1574.57	1574.57	600.00	2
45	2368.22	9472.89	600.00	5
46	1144.26	7144.26	600.00	1
48	1765.53	7062.13	600.00	3
52	596.61	2096.61	600.00	10
47	1057.21	2557.21	600.00	12
50	3082.46	4582.46	600.00	0
49	743.20	743.20	600.00	11
54	1031.76	5627.02	600.00	6
51	3130.06	3130.06	600.00	14
53	4040.57	16162.29	600.00	15
55	850.67	3402.66	600.00	13
56	3573.77	14295.06	1513.94	8
57	1602.48	6409.93	600.00	11
