69
idx	RT	PRT	ST	amb_id
68	777.86	3111.44	600.00	23
67	402.53	402.53	600.00	3
66	1161.29	6145.16	600.00	4
65	1698.58	1698.58	600.00	7
64	519.51	519.51	600.00	0
63	255.70	255.70	600.00	5
62	78.84	315.38	1295.39	10
61	197.29	789.16	600.00	9
60	350.81	1403.22	600.00	15
59	372.74	2990.95	600.00	2
28	298.50	1194.00	1577.04	20
27	733.17	733.17	600.00	1
26	1192.87	2692.87	600.00	14
25	232.04	232.04	600.00	23
24	400.77	400.77	600.00	15
23	303.66	1214.65	600.00	21
22	41.58	166.32	600.00	9
21	124.67	498.70	1591.84	0
20	300.42	300.42	2449.96	6
19	452.51	3310.05	600.00	16
18	419.75	1679.01	600.00	11
17	1867.06	7468.22	1614.47	12
16	1088.36	1088.36	600.00	5
15	484.67	3438.68	600.00	20
14	1510.66	6042.62	1206.81	22
13	1024.23	1024.23	600.00	13
0	1347.92	1347.92	600.00	21
1	930.55	2430.55	600.00	16
2	1936.79	1936.79	600.00	19
3	367.17	1468.68	600.00	11
4	1596.29	1596.29	1540.69	10
5	519.14	2019.14	600.00	8
6	771.83	771.83	600.00	9
7	1459.43	5837.72	600.00	1
8	367.27	367.27	600.00	23
9	2313.29	9253.15	600.00	3
10	752.92	752.92	600.00	15
11	1952.45	1952.45	600.00	2
12	373.63	1494.52	2819.93	18
29	289.73	1789.73	600.00	4
30	477.53	1910.11	600.00	19
31	140.70	562.78	600.00	9
33	315.88	315.88	600.00	13
32	991.40	991.40	600.00	5
34	172.06	688.24	600.00	11
35	706.75	706.75	600.00	21
36	593.52	2374.07	600.00	17
37	102.67	1910.69	600.00	8
38	117.15	117.15	600.00	7
39	157.97	157.97	1387.33	0
40	212.91	212.91	600.00	15
41	952.73	952.73	600.00	3
42	168.18	168.18	600.00	1
43	352.13	1408.54	600.00	13
44	594.19	594.19	600.00	10
45	583.34	2333.37	600.00	7
46	886.15	886.15	600.00	20
47	214.79	214.79	600.00	5
48	259.61	1038.44	600.00	9
49	1084.27	1084.27	600.00	23
50	1243.84	1243.84	600.00	17
51	510.60	510.60	600.00	22
52	391.32	391.32	600.00	21
53	430.65	3222.59	600.00	8
54	741.81	4467.22	600.00	18
55	90.58	362.32	600.00	19
56	1058.79	4235.15	1513.94	14
57	933.56	3734.24	600.00	1
58	3266.44	3266.44	600.00	13
