37
idx	RT	PRT	ST	amb_id
36	729.04	729.04	600.00	3
35	1032.11	1032.11	600.00	15
34	439.23	439.23	600.00	13
33	1312.10	1312.10	600.00	11
32	481.39	481.39	600.00	3
31	574.20	2296.79	1443.35	0
30	432.15	432.15	600.00	1
29	677.72	2710.86	600.00	5
12	980.19	980.19	600.00	15
11	507.10	2028.41	600.00	5
10	1136.70	4546.81	600.00	3
9	313.83	313.83	2041.98	10
8	644.74	2578.95	2890.01	2
7	1226.11	1226.11	1995.91	14
6	1249.01	4996.04	600.00	1
5	529.13	529.13	600.00	11
4	1590.39	6361.55	600.00	7
3	946.22	3784.88	1615.46	12
2	1173.74	4694.98	3342.46	0
1	1463.54	1463.54	600.00	13
0	1008.76	4035.04	600.00	1
13	550.31	550.31	600.00	9
14	569.67	3778.66	600.00	4
15	596.63	2386.50	600.00	11
16	278.36	1113.44	600.00	13
17	1326.73	1326.73	600.00	11
18	388.36	388.36	600.00	7
19	457.78	3331.10	600.00	12
20	437.28	437.28	600.00	4
21	465.54	1862.17	600.00	13
22	605.00	605.00	600.00	15
23	853.96	3415.83	1451.48	10
24	799.32	799.32	1340.72	4
25	202.32	202.32	600.00	14
26	1298.67	1298.67	600.00	15
27	154.11	616.45	600.00	3
28	852.40	852.40	600.00	13
