37
idx	RT	PRT	ST	amb_id
36	1400.39	1400.39	600.00	13
35	612.05	612.05	600.00	3
32	1805.84	3305.84	600.00	4
34	2315.83	2315.83	600.00	9
33	643.00	2143.00	600.00	0
30	2863.14	4363.14	600.00	6
31	976.05	9904.22	1443.35	1
29	1010.93	4043.72	600.00	11
12	964.65	964.65	600.00	13
11	1017.32	5569.27	600.00	2
10	1666.90	6667.58	600.00	9
9	313.83	313.83	2041.98	10
8	1033.69	4134.75	2890.01	0
7	3728.01	3728.01	1995.91	8
6	2335.91	9343.66	600.00	5
5	3036.65	4536.65	600.00	6
4	1590.39	6361.55	600.00	7
3	1194.63	10778.50	1615.46	3
2	960.82	9843.29	3342.46	1
1	1311.43	2811.43	600.00	2
0	1720.95	8383.78	600.00	4
13	1058.66	2558.66	600.00	12
15	406.37	3125.50	600.00	4
16	1548.06	6192.25	600.00	11
14	1791.19	7164.77	600.00	3
18	388.36	388.36	600.00	7
17	1136.48	2636.48	600.00	4
21	1576.35	6305.40	600.00	13
20	2903.23	8903.23	600.00	5
23	1135.36	4541.43	1451.48	2
19	1920.26	9181.04	600.00	12
24	754.83	754.83	1340.72	10
27	363.51	1454.06	600.00	1
28	1393.86	1393.86	600.00	7
25	574.39	574.39	600.00	6
22	1938.30	3438.30	600.00	4
26	558.22	558.22	600.00	3
