37
idx	RT	PRT	ST	amb_id
36	1620.92	1620.92	600.00	1
35	585.28	585.28	600.00	1
28	1803.11	1803.11	600.00	7
34	428.99	428.99	600.00	17
33	452.19	452.19	600.00	21
32	270.80	270.80	600.00	1
31	517.37	2069.47	1443.35	10
30	432.15	432.15	600.00	7
12	518.70	518.70	600.00	21
11	384.10	1536.40	600.00	13
10	1136.70	4546.81	600.00	23
9	319.78	319.78	2041.98	22
8	473.09	1892.36	2890.01	24
6	1249.01	4996.04	600.00	11
7	652.98	652.98	1995.91	20
5	1400.60	1400.60	600.00	15
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	0
2	1173.74	4694.98	3342.46	10
1	1692.83	1692.83	600.00	19
0	1008.76	4035.04	600.00	11
29	559.48	2237.90	600.00	13
13	550.31	550.31	600.00	9
14	272.03	1088.13	600.00	3
15	359.26	1437.06	600.00	19
16	209.20	836.82	600.00	11
17	198.55	198.55	600.00	15
18	478.51	478.51	600.00	17
19	472.97	1891.89	600.00	1
20	443.28	443.28	600.00	14
21	493.95	1975.79	600.00	11
22	190.65	190.65	600.00	3
23	454.20	1816.80	1451.48	4
24	443.10	443.10	1340.72	2
26	412.31	412.31	600.00	19
27	254.54	1018.14	600.00	23
25	334.30	334.30	600.00	10
