37
idx	RT	PRT	ST	amb_id
36	80.74	80.74	600.00	3
35	531.46	531.46	600.00	9
34	742.87	742.87	600.00	1
33	706.43	706.43	600.00	5
32	592.20	592.20	600.00	9
31	706.92	8827.68	1443.35	11
30	2084.86	2084.86	600.00	7
29	1284.49	6637.95	600.00	6
12	575.35	575.35	600.00	1
11	507.10	2028.41	600.00	5
10	1136.70	4546.81	600.00	3
9	1781.73	1781.73	2041.98	10
8	473.09	1892.36	2890.01	4
7	1002.81	1002.81	1995.91	2
6	1201.93	4807.72	600.00	11
5	747.79	747.79	600.00	1
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	797.90	797.90	600.00	11
0	1008.76	4035.04	600.00	1
13	550.31	550.31	600.00	9
14	1126.01	4504.04	600.00	5
15	1038.71	4154.84	600.00	1
16	288.56	1154.24	600.00	11
17	1725.38	1725.38	600.00	11
18	478.51	478.51	600.00	7
19	766.99	3067.94	600.00	3
20	1784.91	1784.91	600.00	4
21	1790.58	7162.31	600.00	1
22	722.96	722.96	600.00	9
23	1657.20	6628.81	1451.48	2
24	1968.44	1968.44	1340.72	0
25	2203.87	2203.87	600.00	10
26	153.86	153.86	600.00	5
27	809.40	3237.62	600.00	3
28	1308.70	1308.70	600.00	7
