37
idx	RT	PRT	ST	amb_id
36	562.30	562.30	600.00	5
35	544.18	544.18	600.00	1
34	256.72	256.72	600.00	9
33	341.28	341.28	600.00	5
32	110.10	110.10	600.00	1
31	517.37	2069.47	1443.35	0
30	1579.95	1579.95	600.00	7
29	683.82	2735.29	600.00	7
12	512.18	512.18	600.00	9
11	384.10	1536.40	600.00	3
10	994.11	3976.45	600.00	11
9	3304.82	3304.82	2041.98	2
8	473.09	1892.36	2890.01	4
7	1002.81	1002.81	1995.91	2
6	1236.73	4946.93	600.00	7
5	747.79	747.79	600.00	1
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	1692.83	1692.83	600.00	9
0	1008.76	4035.04	600.00	1
13	538.06	538.06	600.00	5
14	1003.01	4012.02	600.00	3
15	514.83	2059.32	600.00	1
16	258.34	1033.37	600.00	7
17	1244.93	1244.93	600.00	1
18	876.15	2376.15	600.00	6
19	613.89	2455.56	600.00	11
20	523.87	523.87	600.00	10
21	447.64	1790.57	600.00	7
22	567.39	567.39	600.00	5
23	914.96	3659.83	1451.48	10
24	2475.53	2475.53	1340.72	10
25	334.30	334.30	600.00	0
26	301.35	301.35	600.00	3
27	656.31	2625.23	600.00	11
28	557.90	557.90	600.00	9
