37
idx	RT	PRT	ST	amb_id
36	891.90	891.90	600.00	5
35	2267.24	2267.24	600.00	11
34	2058.52	2058.52	600.00	7
33	2350.29	2350.29	600.00	9
32	1486.85	1486.85	600.00	1
31	1187.91	4751.63	1511.44	12
30	1575.46	1575.46	600.00	13
29	2862.22	11448.89	600.00	7
12	2314.64	2314.64	600.00	5
11	2281.02	9124.08	600.00	3
10	3012.64	12050.56	600.00	9
9	139.44	139.44	1952.97	0
8	277.19	1108.75	3001.60	2
7	907.06	907.06	2032.83	10
6	6801.99	27207.96	600.00	13
5	1025.08	1025.08	600.00	11
4	4018.83	17575.30	600.00	6
3	628.69	2514.77	1351.09	12
2	2351.85	9407.41	4595.88	4
1	1976.17	1976.17	600.00	1
0	1568.57	6274.27	600.00	5
13	600.39	600.39	600.00	1
14	1016.30	4065.19	600.00	11
15	1394.04	5576.18	600.00	5
16	609.75	2439.02	600.00	7
17	3124.23	3124.23	600.00	3
18	2297.32	3797.32	600.00	6
19	90.84	1863.37	600.00	12
20	2174.66	2174.66	600.00	10
21	657.96	2631.83	600.00	13
22	1273.97	1273.97	600.00	1
23	1558.64	6234.55	1433.15	0
24	1105.08	1105.08	1398.79	2
25	583.84	583.84	600.00	12
26	1462.06	1462.06	600.00	5
27	776.70	3106.81	600.00	9
28	237.60	237.60	600.00	7
