37
idx	RT	PRT	ST	amb_id
36	327.00	327.00	600.00	23
35	512.45	2012.45	600.00	22
34	220.97	220.97	600.00	11
33	1912.82	1912.82	600.00	15
32	424.40	424.40	600.00	9
31	563.44	2253.78	1643.61	20
30	598.90	598.90	600.00	17
29	557.34	3729.37	600.00	16
12	1784.80	1784.80	600.00	5
11	2419.74	9678.96	600.00	21
10	4660.49	18641.96	600.00	15
9	47.11	47.11	2381.28	0
8	2162.21	8648.83	2790.85	4
7	2764.24	2764.24	3885.06	20
6	3191.12	12764.49	600.00	17
5	700.18	700.18	600.00	19
4	2466.34	11365.36	600.00	18
3	1438.46	5753.84	2227.35	10
2	1483.45	5933.78	4151.67	22
1	1742.30	1742.30	600.00	9
0	2452.68	9810.72	600.00	3
13	1924.83	1924.83	600.00	21
14	866.80	3467.20	600.00	13
15	582.07	2328.29	600.00	11
16	1597.78	6391.11	600.00	1
17	637.91	637.91	600.00	9
18	553.60	553.60	600.00	7
19	293.14	1172.54	600.00	15
20	539.18	539.18	600.00	12
21	1260.77	5043.07	600.00	1
22	2376.47	2376.47	600.00	23
23	1271.19	5084.76	1268.50	2
24	543.76	543.76	1230.43	14
25	469.07	469.07	600.00	10
26	311.45	311.45	600.00	13
27	1025.68	4102.71	600.00	15
28	191.31	191.31	600.00	11
