37
idx	RT	PRT	ST	amb_id
32	3609.77	5109.77	600.00	2
34	6496.46	6496.46	600.00	9
20	4846.27	4846.27	600.00	10
28	2640.21	2640.21	600.00	7
36	855.55	855.55	600.00	5
30	2121.55	2121.55	600.00	11
24	4375.71	10375.71	2290.44	13
33	2172.55	2172.55	600.00	9
12	1740.45	1740.45	600.00	11
7	1709.63	1709.63	2132.01	10
14	103.20	412.82	600.00	13
1	3091.90	3091.90	600.00	5
2	6154.84	24619.36	3647.59	8
31	1804.15	7216.62	1416.65	12
11	459.53	1838.11	600.00	1
8	2037.34	8149.34	4801.56	2
6	2589.63	11858.53	600.00	6
35	961.63	2461.63	600.00	0
5	1510.49	1510.49	600.00	9
4	1342.62	6870.47	600.00	8
3	382.77	1531.07	1460.11	10
13	727.38	727.38	600.00	3
0	1568.57	6274.27	600.00	5
29	1467.17	5868.67	600.00	7
15	1113.41	5953.63	600.00	4
16	1822.13	7288.52	600.00	7
18	2436.22	2436.22	600.00	11
19	3802.27	16709.08	600.00	0
10	2875.33	11501.32	600.00	9
17	3177.79	3177.79	600.00	13
22	399.65	1899.65	600.00	12
21	832.08	4828.34	600.00	6
23	644.34	8577.36	1611.01	1
26	3565.89	3565.89	600.00	5
9	3154.51	3154.51	2329.97	2
27	5897.13	25088.52	600.00	6
25	896.45	896.45	600.00	0
