37
idx	RT	PRT	ST	amb_id
36	823.88	2323.88	600.00	0
35	1199.86	2699.86	600.00	12
34	5246.30	5246.30	600.00	11
33	657.97	657.97	600.00	13
32	1922.40	1922.40	600.00	9
31	3311.73	13246.92	1509.20	8
30	2833.35	2833.35	600.00	3
29	2658.54	12134.18	600.00	4
12	1376.91	2876.91	600.00	0
11	196.76	787.03	600.00	11
10	335.96	2843.86	600.00	10
9	580.98	6580.98	3239.47	9
8	1072.04	4288.16	2849.59	4
7	2431.85	2431.85	2428.71	6
6	2943.88	11775.51	600.00	5
5	967.24	2467.24	600.00	12
4	631.12	4024.49	600.00	8
3	1926.71	7706.82	5245.71	2
2	843.70	9374.78	2934.60	1
1	1012.40	1012.40	600.00	13
0	4346.38	17385.52	600.00	3
13	2138.70	3638.70	600.00	12
14	644.25	2577.02	600.00	3
15	824.20	3296.82	600.00	13
16	524.65	2098.59	600.00	7
17	1336.11	1336.11	600.00	5
18	510.65	2010.65	600.00	8
19	1171.66	4686.64	600.00	3
20	1752.91	1752.91	600.00	10
21	2247.88	10491.54	600.00	12
22	308.09	308.09	600.00	11
23	2608.71	10434.83	1451.22	2
24	2605.08	8605.08	1294.53	1
25	985.17	6985.17	600.00	13
26	688.47	2188.47	600.00	0
27	3331.72	14826.87	600.00	10
28	3058.58	3058.58	600.00	5
