37
idx	RT	PRT	ST	amb_id
35	783.38	783.38	600.00	11
36	719.33	2219.33	600.00	4
34	2145.99	3645.99	600.00	6
33	4599.58	4599.58	600.00	1
28	2485.52	3985.52	600.00	8
30	2580.56	4080.56	600.00	2
31	1484.29	11937.17	1881.81	5
32	613.34	613.34	600.00	1
12	763.51	763.51	600.00	11
6	5128.66	22014.66	600.00	8
11	1753.04	7012.18	600.00	9
10	885.74	3542.97	600.00	1
9	252.70	252.70	2173.63	10
8	639.33	2557.34	2514.61	2
7	640.28	640.28	2746.93	4
5	584.28	584.28	600.00	11
4	3170.77	14183.09	600.00	8
3	332.87	1331.50	1762.01	0
2	2255.35	15021.41	3122.13	5
1	1430.98	1430.98	600.00	1
0	508.68	3534.71	600.00	10
29	1538.84	7655.37	600.00	6
13	1049.03	1049.03	600.00	3
15	2121.28	8485.11	600.00	7
16	1815.76	8763.03	600.00	6
14	2320.37	9281.49	600.00	11
17	456.92	456.92	600.00	1
18	2740.77	4240.77	600.00	0
20	870.41	870.41	600.00	4
22	545.57	545.57	600.00	9
19	2275.04	9100.15	600.00	3
21	2911.24	13144.98	600.00	8
27	1496.84	5987.34	600.00	11
23	1693.12	12772.48	1683.80	7
25	1964.19	1964.19	600.00	2
24	1242.74	1242.74	1574.97	10
26	2023.12	2023.12	600.00	9
