37
idx	RT	PRT	ST	amb_id
36	1256.27	2756.27	600.00	2
35	2759.73	4259.73	600.00	12
34	1679.84	1679.84	600.00	11
31	937.12	9748.48	1394.89	1
33	1635.19	1635.19	600.00	7
32	533.31	533.31	600.00	15
29	4818.44	19273.75	600.00	3
30	1639.64	3139.64	600.00	0
12	417.10	417.10	600.00	3
11	3766.24	15064.96	600.00	7
10	248.87	995.47	600.00	11
9	261.21	6261.21	1889.79	13
8	180.34	721.36	3381.49	14
7	806.45	806.45	1828.79	0
6	2440.75	9762.99	600.00	5
5	131.06	131.06	600.00	3
4	6105.99	25923.98	600.00	12
3	2106.66	8426.66	1885.39	4
2	1602.65	6410.59	3129.27	2
1	2176.12	2176.12	600.00	15
0	4285.08	17140.33	600.00	3
13	2352.07	3852.07	600.00	6
14	1055.02	4220.09	600.00	9
15	980.74	5422.97	600.00	10
16	20.58	82.32	600.00	5
17	1813.04	1813.04	600.00	11
18	4200.99	4200.99	600.00	9
19	250.13	1000.54	600.00	15
20	6558.63	6558.63	600.00	8
21	1101.79	4407.17	600.00	1
23	3277.46	19109.86	1388.33	5
22	997.22	997.22	600.00	11
24	1528.99	7528.99	1253.67	13
25	1430.42	7430.42	600.00	15
27	1488.92	7455.68	600.00	10
26	1517.59	1517.59	600.00	7
28	2703.61	4203.61	600.00	14
