37
idx	RT	PRT	ST	amb_id
36	4028.60	5528.60	600.00	8
34	3476.52	3476.52	600.00	9
33	7343.39	7343.39	600.00	1
32	3873.13	3873.13	600.00	3
30	7162.11	8662.11	600.00	2
22	7793.75	7793.75	600.00	7
18	8342.97	9842.97	600.00	4
26	3995.12	5495.12	600.00	0
12	2425.98	2425.98	600.00	7
10	840.17	4860.68	600.00	2
11	877.03	3508.10	600.00	3
7	6130.23	6130.23	2695.97	8
9	253.27	253.27	1908.51	0
8	251.41	7005.64	3716.70	5
6	1298.00	5191.98	600.00	7
35	2601.78	2601.78	600.00	1
5	1666.66	3166.66	600.00	4
4	254.35	2517.40	600.00	8
3	2177.19	8708.78	1629.32	2
2	2280.26	9121.04	4122.28	6
31	1219.51	4878.03	1348.27	4
1	801.27	801.27	600.00	1
0	2224.70	8898.79	600.00	9
29	1716.29	6865.17	600.00	9
16	4006.35	17525.39	600.00	2
14	2161.79	8647.14	600.00	7
15	3984.99	15939.97	600.00	3
23	824.61	3298.43	1538.53	0
25	866.81	866.81	600.00	6
21	2288.52	10654.10	600.00	2
19	2719.25	12377.02	600.00	6
13	5480.48	5480.48	600.00	7
24	2779.57	2779.57	1611.16	0
17	4733.01	6233.01	600.00	2
27	5617.71	22470.83	600.00	5
20	4911.59	4911.59	600.00	8
28	3556.78	3556.78	600.00	9
