37
idx	RT	PRT	ST	amb_id
36	1970.42	1970.42	600.00	7
35	1353.44	1353.44	600.00	1
32	2180.26	2180.26	600.00	11
34	1692.33	1692.33	600.00	5
33	1509.02	1509.02	600.00	9
30	3549.63	3549.63	600.00	5
31	1154.70	4618.80	1853.36	0
28	2398.62	2398.62	600.00	13
12	2314.64	2314.64	600.00	5
11	2281.02	9124.08	600.00	3
10	3012.64	12050.56	600.00	9
9	139.44	139.44	1952.97	0
8	277.19	1108.75	3001.60	2
7	907.06	907.06	2032.83	10
6	6801.99	27207.96	600.00	13
5	1025.08	1025.08	600.00	11
4	4018.83	17575.30	600.00	6
3	628.69	2514.77	1351.09	12
2	2351.85	9407.41	4595.88	4
1	1976.17	1976.17	600.00	1
0	1568.57	6274.27	600.00	5
29	1136.09	6044.37	600.00	6
13	415.98	415.98	600.00	1
14	1286.24	5144.96	600.00	3
15	2529.36	10117.43	600.00	7
16	2798.49	11193.98	600.00	11
19	640.88	4063.51	600.00	10
20	511.16	511.16	600.00	12
18	5236.09	5236.09	600.00	5
21	1718.04	8372.18	600.00	8
22	2588.36	2588.36	600.00	13
17	2305.48	2305.48	600.00	9
27	916.34	3665.36	600.00	3
26	1211.07	1211.07	600.00	1
25	1226.55	1226.55	600.00	0
23	2129.85	8519.39	1523.25	2
24	2458.06	2458.06	1361.89	10
