37
idx	RT	PRT	ST	amb_id
35	2486.87	2486.87	600.00	3
33	2803.68	4303.68	600.00	12
26	5397.38	6897.38	600.00	4
20	4055.59	4055.59	600.00	10
34	3376.76	3376.76	600.00	11
9	7298.97	7298.97	1984.19	8
23	4564.22	24256.86	1365.43	9
30	5141.24	5141.24	600.00	13
12	2378.73	2378.73	600.00	5
11	240.34	961.35	600.00	11
10	843.48	4873.91	600.00	2
8	1545.26	6181.05	3454.12	4
7	337.87	337.87	2660.10	0
36	260.25	260.25	600.00	9
6	1832.95	7331.79	600.00	7
5	1661.18	1661.18	600.00	1
4	120.39	1981.58	600.00	8
3	626.33	2505.32	1447.14	10
32	247.37	247.37	600.00	13
2	1199.09	4796.35	3447.62	12
31	1807.83	7231.30	1455.50	2
1	1114.46	1114.46	600.00	13
13	880.60	880.60	600.00	9
0	1568.57	6274.27	600.00	5
29	3267.63	13070.52	600.00	7
14	549.18	2196.73	600.00	3
15	3335.34	13341.36	600.00	13
16	7224.82	28899.27	600.00	11
19	2150.18	8600.72	600.00	3
21	1085.44	5841.76	600.00	8
22	836.38	836.38	600.00	9
18	1985.61	1985.61	600.00	7
24	483.47	483.47	1872.30	10
25	5476.32	5476.32	600.00	6
17	3032.70	3032.70	600.00	13
27	1618.81	7975.24	600.00	2
28	2761.05	4261.05	600.00	8
