37
idx	RT	PRT	ST	amb_id
36	3981.11	3981.11	600.00	7
35	4376.23	5876.23	600.00	2
34	4168.30	4168.30	600.00	3
33	3538.11	3538.11	600.00	9
32	2911.92	2911.92	600.00	9
31	2026.92	8107.67	2780.30	2
30	5217.52	5217.52	600.00	5
29	2870.57	12982.28	600.00	6
12	3616.68	3616.68	600.00	3
11	1298.50	5193.99	600.00	3
10	1256.61	5026.46	600.00	1
9	2872.41	2872.41	2013.65	8
8	527.54	8110.16	4248.47	9
7	1524.04	1524.04	1885.92	0
6	3054.13	13716.51	600.00	2
5	4631.61	4631.61	600.00	3
4	390.45	3061.80	600.00	6
3	729.60	2918.40	1677.66	0
2	2091.08	8364.31	3122.13	4
1	7071.32	7071.32	600.00	1
0	2112.34	8449.35	600.00	5
13	4646.12	4646.12	600.00	7
14	3067.23	12268.94	600.00	9
15	2143.73	8574.93	600.00	1
16	1745.79	8483.15	600.00	2
17	2617.21	2617.21	600.00	5
18	3261.76	4761.76	600.00	6
19	1457.35	7329.40	600.00	0
20	3063.74	3063.74	600.00	4
21	3464.97	13859.90	600.00	3
22	2256.55	2256.55	600.00	9
23	4059.78	16239.11	1426.67	0
24	4531.07	4531.07	1300.50	4
25	4824.49	4824.49	600.00	2
26	3669.09	3669.09	600.00	7
27	1828.13	7312.53	600.00	5
28	3739.26	3739.26	600.00	3
