37
idx	RT	PRT	ST	amb_id
36	149.37	149.37	600.00	1
35	1139.46	1139.46	600.00	11
34	1665.09	1665.09	600.00	9
33	1234.39	1234.39	600.00	3
32	1228.80	1228.80	600.00	9
31	2023.31	8093.25	1363.76	10
30	3304.94	3304.94	600.00	15
29	1366.39	5465.56	600.00	7
12	3869.00	3869.00	600.00	15
11	679.76	2719.02	600.00	15
10	587.63	2350.51	600.00	11
9	2411.32	2411.32	2441.61	12
8	612.28	2449.11	2737.91	14
7	336.21	336.21	2005.09	10
6	1994.44	7977.75	600.00	13
5	603.64	603.64	600.00	3
4	1135.55	6042.21	600.00	6
3	1165.35	4661.41	1505.42	12
2	878.39	3513.57	4616.80	0
1	1120.20	2620.20	600.00	0
0	889.30	3557.19	600.00	3
13	1655.39	1655.39	600.00	9
14	1055.83	4223.32	600.00	1
15	1363.01	5452.03	600.00	9
16	262.80	1051.21	600.00	13
17	862.94	862.94	600.00	3
18	1904.54	1904.54	600.00	13
19	1825.66	8802.65	600.00	4
20	197.53	197.53	600.00	2
21	1319.09	5276.34	600.00	3
22	744.25	744.25	600.00	5
23	1690.97	6763.87	1450.30	14
24	1337.39	1337.39	1441.00	2
25	775.90	775.90	600.00	0
26	271.51	271.51	600.00	11
27	548.07	2192.29	600.00	1
28	1069.06	1069.06	600.00	15
