37
idx	RT	PRT	ST	amb_id
36	412.77	412.77	600.00	7
35	1440.77	2940.77	600.00	4
34	4677.53	6177.53	600.00	0
33	2550.13	2550.13	600.00	5
32	268.89	268.89	600.00	11
31	4233.67	22934.68	1713.98	3
30	1732.76	1732.76	600.00	1
29	1352.60	6910.41	600.00	10
12	1089.33	2589.33	600.00	0
11	158.01	2132.02	600.00	4
10	462.13	1848.52	600.00	11
9	1896.64	7896.64	2159.64	13
8	448.45	1793.78	2633.57	14
7	503.52	6503.52	2012.52	5
6	1922.35	7689.38	600.00	7
5	1407.32	1407.32	600.00	9
4	1342.62	6870.47	600.00	8
3	423.18	7692.72	1460.11	1
2	2521.58	16086.32	4595.88	15
1	1489.03	1489.03	600.00	13
0	1028.97	4115.90	600.00	5
13	1797.77	1797.77	600.00	1
14	486.57	3446.28	600.00	2
15	1970.86	9383.45	600.00	10
16	1852.68	8910.70	600.00	12
17	826.62	2326.62	600.00	4
18	4440.74	4440.74	600.00	5
19	836.96	4847.85	600.00	2
20	8602.49	8602.49	600.00	8
21	261.19	1044.76	600.00	7
22	1462.77	2962.77	600.00	0
23	892.51	9570.04	2207.77	9
24	4369.66	4369.66	1436.39	6
25	829.75	6829.75	600.00	11
26	288.17	288.17	600.00	3
27	1246.93	4987.73	600.00	7
28	1727.62	1727.62	600.00	13
