37
idx	RT	PRT	ST	amb_id
36	710.95	710.95	600.00	15
33	2653.56	4153.56	600.00	4
35	1700.71	1700.71	600.00	5
34	2428.85	2428.85	600.00	1
32	717.38	717.38	600.00	15
31	54.15	216.59	1423.37	10
30	5897.32	5897.32	600.00	3
29	757.61	3030.44	600.00	11
12	1292.54	1292.54	600.00	1
11	43.81	175.24	600.00	15
10	1612.89	6451.56	600.00	5
9	144.44	144.44	1813.50	10
8	1736.55	6946.21	2718.41	14
7	756.08	756.08	3491.95	0
6	1922.35	7689.38	600.00	7
5	549.82	549.82	600.00	11
4	1342.62	6870.47	600.00	8
3	671.74	2686.97	1460.11	12
2	2351.85	9407.41	4595.88	4
1	3112.94	3112.94	600.00	9
0	1028.97	4115.90	600.00	5
13	727.38	727.38	600.00	13
14	1792.35	8669.41	600.00	12
15	626.86	2507.45	600.00	9
16	1104.50	4418.01	600.00	11
17	2625.01	4125.01	600.00	6
19	1342.43	5369.71	600.00	1
20	561.78	561.78	600.00	2
21	1241.50	4966.00	600.00	7
22	487.30	487.30	600.00	15
18	3638.05	3638.05	600.00	9
23	1471.61	5886.44	1945.29	12
25	929.62	929.62	600.00	10
26	2010.48	2010.48	600.00	5
28	747.26	2247.26	600.00	8
24	841.68	841.68	1206.01	2
27	454.46	1817.83	600.00	1
