37
idx	RT	PRT	ST	amb_id
36	1587.41	1587.41	600.00	11
35	1507.36	1507.36	600.00	5
34	5777.64	7277.64	600.00	4
33	4284.95	5784.95	600.00	2
32	2091.38	2091.38	600.00	11
31	5569.82	22279.30	1217.67	6
30	7675.83	9175.83	600.00	8
29	5399.71	21598.85	600.00	9
12	1451.82	2951.82	600.00	10
11	4061.48	17745.91	600.00	8
10	1552.10	7708.38	600.00	4
9	793.48	6793.48	2801.54	5
8	338.35	7353.39	2632.33	3
7	4519.13	10519.13	1917.67	9
6	2202.79	10311.16	600.00	2
5	1190.63	2690.63	600.00	0
4	2367.05	10968.21	600.00	6
3	337.47	1349.88	1482.64	10
2	755.61	9022.43	3447.62	11
1	568.63	568.63	600.00	1
0	1012.89	4051.57	600.00	5
13	3924.13	3924.13	600.00	7
14	2381.42	9525.67	600.00	1
15	1679.72	8218.88	600.00	2
16	2275.84	10603.37	600.00	6
17	2075.06	3575.06	600.00	4
18	5449.52	5449.52	600.00	3
19	2239.76	8959.05	600.00	1
20	2422.34	8422.34	600.00	9
21	2085.33	9841.32	600.00	2
22	2096.20	3596.20	600.00	10
23	4157.85	16631.39	1445.22	0
24	2427.54	8427.54	1296.17	1
25	5748.89	11748.89	600.00	7
26	3126.26	4626.26	600.00	4
27	2814.63	11258.53	600.00	5
28	3772.80	5272.80	600.00	10
