37
idx	RT	PRT	ST	amb_id
34	3422.21	3422.21	600.00	9
33	7194.67	8694.67	600.00	8
35	2372.19	2372.19	600.00	3
36	2729.93	2729.93	600.00	5
28	3973.47	3973.47	600.00	9
26	6525.55	8025.55	600.00	6
22	4805.47	6305.47	600.00	0
32	2396.44	2396.44	600.00	1
10	2097.80	9891.22	600.00	4
11	106.53	1926.11	600.00	2
6	3778.20	16612.81	600.00	8
8	868.88	9475.52	4139.40	5
5	824.22	824.22	600.00	1
4	254.35	2517.40	600.00	8
3	2712.53	10850.11	1629.32	4
15	2655.28	10621.11	600.00	7
2	2280.26	9121.04	4122.28	6
31	1601.52	6406.08	1555.83	6
14	148.44	593.77	600.00	3
1	999.25	2499.25	600.00	0
30	3139.16	3139.16	600.00	9
13	1664.83	3164.83	600.00	2
0	2224.70	8898.79	600.00	9
29	1188.05	4752.20	600.00	7
9	5335.95	11335.95	2133.09	3
7	3566.89	9566.89	2085.21	1
16	3122.64	12490.55	600.00	9
23	1564.38	6257.53	1284.18	4
12	3812.76	5312.76	600.00	2
25	968.44	968.44	600.00	6
18	4097.82	5597.82	600.00	8
19	2132.47	10029.87	600.00	6
17	4039.97	5539.97	600.00	2
27	2478.54	9914.17	600.00	3
21	2796.36	11185.45	600.00	9
24	2767.42	8767.42	1242.13	5
20	6260.96	6260.96	600.00	2
