37
idx	RT	PRT	ST	amb_id
35	1287.09	2787.09	600.00	10
36	781.97	781.97	600.00	7
33	2049.44	3549.44	600.00	2
34	2712.14	2712.14	600.00	13
28	2411.51	2411.51	600.00	1
30	3009.19	3009.19	600.00	3
24	3933.37	3933.37	1424.90	6
31	3459.39	13837.56	1715.59	8
12	1266.89	1266.89	600.00	5
10	1044.23	4176.91	600.00	11
11	210.28	841.12	600.00	13
9	889.77	889.77	2387.86	2
8	1545.26	6181.05	3454.12	4
7	559.81	559.81	2660.10	12
6	2412.72	9650.87	600.00	1
5	2806.41	2806.41	600.00	3
4	120.39	1981.58	600.00	8
3	684.26	8737.03	1447.14	11
32	1685.31	1685.31	600.00	13
2	937.20	3748.82	3447.62	10
1	729.05	2229.05	600.00	0
0	1568.57	6274.27	600.00	5
29	6667.99	26671.95	600.00	9
13	4323.65	4323.65	600.00	7
14	425.42	1701.66	600.00	9
15	2646.39	12085.55	600.00	6
16	2270.95	10583.79	600.00	8
17	837.49	2337.49	600.00	0
19	348.37	1393.48	600.00	13
21	2171.23	8684.92	600.00	11
23	1025.70	4102.79	1844.63	2
20	1940.87	1940.87	600.00	12
26	150.83	150.83	600.00	9
27	247.87	991.46	600.00	13
18	4520.06	4520.06	600.00	1
25	1110.84	1110.84	600.00	0
22	2991.03	2991.03	600.00	5
