37
idx	RT	PRT	ST	amb_id
36	1187.38	2687.38	600.00	14
35	78.73	1578.73	600.00	0
34	2661.42	2661.42	600.00	11
33	1129.18	1129.18	600.00	15
32	907.98	907.98	600.00	5
31	537.43	8149.70	1785.19	1
30	3912.23	3912.23	600.00	13
29	106.53	1926.10	600.00	6
12	2177.54	2177.54	600.00	17
11	734.73	2938.92	600.00	13
10	440.57	3262.27	600.00	2
9	3918.74	3918.74	2826.78	8
8	3808.66	15234.65	2619.24	10
7	850.99	6850.99	1943.67	15
6	1277.66	6610.65	600.00	12
5	1599.13	1599.13	600.00	9
4	550.12	3700.50	600.00	8
3	727.60	2910.38	1607.06	0
2	1414.27	11657.07	2529.61	1
1	2228.22	3728.22	600.00	10
0	952.65	3810.59	600.00	11
14	639.69	2558.75	600.00	5
15	1012.25	5549.01	600.00	14
13	1251.80	1251.80	600.00	13
16	2443.92	11275.69	600.00	6
17	122.63	122.63	600.00	11
18	4373.45	4373.45	600.00	19
19	244.06	2476.24	600.00	0
20	4271.91	4271.91	600.00	18
21	2251.93	10507.71	600.00	16
22	345.39	345.39	600.00	5
23	282.72	1130.89	1234.63	2
24	235.69	6235.69	1812.95	3
25	2475.36	8475.36	600.00	7
26	4890.75	6390.75	600.00	4
27	689.27	4257.10	600.00	14
28	2907.16	2907.16	600.00	9
