37
idx	RT	PRT	ST	amb_id
36	264.39	1764.39	600.00	12
35	625.80	625.80	600.00	9
34	127.22	127.22	600.00	17
33	604.65	2104.65	600.00	14
32	2081.15	2081.15	600.00	13
31	2368.47	15473.89	1629.15	3
30	2174.34	3674.34	600.00	6
29	2392.10	11068.42	600.00	16
12	777.25	2277.25	600.00	14
11	336.25	1344.99	600.00	15
10	297.50	2690.01	600.00	2
9	1092.30	7092.30	1886.44	9
8	1181.75	10726.98	4135.55	3
7	489.79	489.79	3734.25	20
6	585.65	2342.61	600.00	17
5	8276.59	8276.59	600.00	11
4	1044.63	5678.53	600.00	18
3	1291.37	5165.48	2083.03	12
2	132.03	6528.10	3210.92	21
1	1445.61	1445.61	600.00	1
0	2461.03	9844.12	600.00	5
13	190.71	1690.71	600.00	4
14	886.84	5047.37	600.00	0
15	2189.07	10256.29	600.00	10
16	3110.14	12440.58	600.00	11
17	1564.78	1564.78	600.00	5
18	884.08	884.08	600.00	7
19	1830.92	8823.70	600.00	4
20	1384.06	7384.06	600.00	1
21	1981.81	7927.23	600.00	5
22	1294.99	1294.99	600.00	13
23	1133.22	4532.87	2791.35	2
24	1547.10	7547.10	1504.93	19
25	2297.17	2297.17	600.00	10
26	246.64	1746.64	600.00	0
27	1740.35	6961.40	600.00	9
28	1788.40	1788.40	600.00	11
