37
idx	RT	PRT	ST	amb_id
36	101.42	1601.42	600.00	4
35	791.64	2291.64	600.00	20
34	2287.50	3787.50	600.00	8
33	2354.70	3854.70	600.00	22
32	891.00	891.00	600.00	11
31	1993.83	7975.31	2003.15	14
30	1207.85	2707.85	600.00	18
29	1810.34	8741.38	600.00	6
12	1880.52	1880.52	600.00	1
11	702.66	2810.64	600.00	23
10	402.77	3111.09	600.00	10
9	638.38	638.38	2390.40	0
8	755.70	9022.81	3349.04	19
7	1037.29	1037.29	1971.33	20
6	3191.12	12764.49	600.00	17
5	1565.30	1565.30	600.00	11
4	2466.34	11365.36	600.00	18
3	2068.17	8272.67	2227.35	12
2	2781.81	17127.24	3043.39	21
1	1865.22	1865.22	600.00	1
0	2666.57	10666.27	600.00	5
13	2130.93	3630.93	600.00	14
14	849.66	3398.62	600.00	9
15	2233.21	10432.84	600.00	4
16	1854.50	7418.01	600.00	23
17	1318.44	2818.44	600.00	2
18	628.39	2128.39	600.00	8
19	469.90	3379.61	600.00	20
20	755.65	6755.65	600.00	15
21	1635.65	6542.60	600.00	7
22	589.79	2089.79	600.00	12
23	462.96	1851.82	2474.06	10
24	51.19	6051.19	1325.06	13
25	371.38	371.38	600.00	2
26	651.32	651.32	600.00	3
27	900.96	3603.84	600.00	11
28	2567.21	4067.21	600.00	16
