37
idx	RT	PRT	ST	amb_id
36	396.41	396.41	600.00	11
35	1447.04	1447.04	600.00	3
34	468.17	468.17	600.00	23
33	1255.55	1255.55	600.00	21
32	770.43	770.43	600.00	11
31	389.87	1559.46	1404.23	24
30	1029.45	1029.45	600.00	1
29	337.75	1351.01	600.00	17
12	566.95	566.95	600.00	19
11	429.56	1718.22	600.00	3
10	2074.81	8299.24	600.00	25
9	589.76	589.76	2114.22	24
8	390.14	1560.56	3156.53	14
7	681.39	681.39	2112.33	20
6	2510.48	10041.94	600.00	17
5	548.52	548.52	600.00	1
4	402.19	3108.77	600.00	18
3	970.35	3881.40	1599.87	10
2	1164.27	4657.09	3724.67	22
1	1776.74	1776.74	600.00	15
0	1700.54	6802.18	600.00	5
13	2276.11	2276.11	600.00	9
14	385.48	1541.92	600.00	23
15	1027.30	4109.22	600.00	15
16	104.28	417.10	600.00	17
17	133.29	133.29	600.00	21
18	127.91	127.91	600.00	7
19	832.67	4830.66	600.00	0
20	366.32	366.32	600.00	2
21	1722.62	6890.48	600.00	17
22	471.64	471.64	600.00	13
23	752.53	3010.10	1298.43	12
24	219.11	219.11	1231.44	4
25	2262.11	2262.11	600.00	14
26	5022.73	5022.73	600.00	15
27	1051.32	4205.26	600.00	21
28	1654.29	1654.29	600.00	27
