37
idx	RT	PRT	ST	amb_id
36	1805.36	1805.36	600.00	9
35	1388.04	1388.04	600.00	3
34	2154.41	2154.41	600.00	1
33	1584.42	1584.42	600.00	9
32	1448.79	1448.79	600.00	3
31	1847.27	13389.09	1443.35	5
30	3070.58	3070.58	600.00	7
29	2344.39	10877.58	600.00	6
12	575.35	575.35	600.00	1
11	1163.57	4654.27	600.00	3
10	1574.14	6296.57	600.00	5
9	2167.81	2167.81	2041.98	2
8	438.19	7752.78	2890.01	9
7	1226.11	1226.11	1995.91	4
6	1236.73	4946.93	600.00	7
5	747.79	747.79	600.00	1
4	579.85	3819.42	600.00	8
3	946.22	3784.88	1615.46	2
2	1173.74	4694.98	3342.46	0
1	1463.54	1463.54	600.00	3
0	1008.76	4035.04	600.00	1
13	1915.91	1915.91	600.00	1
14	1782.47	7129.89	600.00	3
15	1622.17	6488.69	600.00	7
16	1933.20	9232.79	600.00	6
17	2352.27	2352.27	600.00	7
18	647.85	2147.85	600.00	8
19	1192.31	4769.26	600.00	5
20	2275.81	2275.81	600.00	4
21	2120.38	9981.52	600.00	6
22	1581.24	1581.24	600.00	3
23	2012.48	8049.91	1451.48	0
24	2608.81	2608.81	1340.72	2
25	3614.54	3614.54	600.00	8
26	1310.47	1310.47	600.00	9
27	1234.73	4938.93	600.00	5
28	2567.58	2567.58	600.00	1
