37
idx	RT	PRT	ST	amb_id
18	6265.54	6265.54	600.00	7
21	4868.83	20975.30	600.00	6
30	5348.43	5348.43	600.00	1
35	1773.87	1773.87	600.00	9
36	757.05	2257.05	600.00	8
29	4494.05	19476.21	600.00	4
34	2012.76	2012.76	600.00	5
33	734.93	2234.93	600.00	6
12	3714.70	5214.70	600.00	8
11	3471.96	15387.85	600.00	6
10	1248.60	6494.41	600.00	0
9	741.46	6741.46	2041.98	1
8	438.19	7752.78	2890.01	9
7	1406.55	7406.55	1995.91	5
6	1236.73	4946.93	600.00	7
5	1225.97	2725.97	600.00	4
4	579.85	3819.42	600.00	8
3	1194.63	10778.50	1615.46	3
32	241.16	241.16	600.00	5
2	1471.31	5885.26	3342.46	2
31	1447.44	5789.77	1443.35	2
1	1001.88	2501.88	600.00	0
0	1008.76	4035.04	600.00	1
15	727.18	4408.74	600.00	4
13	2518.62	2518.62	600.00	7
17	1194.43	1194.43	600.00	3
19	866.77	4967.09	600.00	0
22	687.62	2187.62	600.00	4
14	2791.44	11165.74	600.00	1
25	382.76	6382.76	600.00	5
23	2481.19	15924.76	1451.48	3
27	834.90	4839.61	600.00	2
24	1310.46	7310.46	1340.72	9
26	1381.29	2881.29	600.00	4
28	2684.91	4184.91	600.00	0
16	4355.46	17421.85	600.00	7
20	2522.24	8522.24	600.00	1
