37
idx	RT	PRT	ST	amb_id
36	967.25	967.25	600.00	5
35	615.36	615.36	600.00	13
34	347.74	347.74	600.00	25
33	834.50	834.50	600.00	29
32	219.32	219.32	600.00	13
31	549.16	2196.63	1443.35	10
30	432.15	432.15	600.00	27
29	676.82	2707.30	600.00	17
12	980.19	980.19	600.00	25
11	384.10	1536.40	600.00	13
10	1036.20	4144.80	600.00	21
9	515.12	515.12	2041.98	14
8	473.09	1892.36	2890.01	4
7	1002.81	1002.81	1995.91	2
6	1236.73	4946.93	600.00	17
5	529.13	529.13	600.00	11
4	579.85	3819.42	600.00	28
3	560.14	2240.57	1615.46	0
2	1173.74	4694.98	3342.46	10
1	797.90	797.90	600.00	21
0	1008.76	4035.04	600.00	1
13	897.76	897.76	600.00	23
14	272.03	1088.13	600.00	3
15	515.06	2060.24	600.00	11
16	258.34	1033.37	600.00	17
17	1015.50	1015.50	600.00	13
18	478.51	478.51	600.00	7
19	655.57	2622.29	600.00	21
20	523.87	523.87	600.00	12
21	452.80	1811.21	600.00	17
22	102.77	102.77	600.00	3
23	454.20	1816.80	1451.48	24
24	829.96	829.96	1340.72	20
25	1013.54	1013.54	600.00	0
26	768.70	768.70	600.00	23
27	642.82	4071.28	600.00	2
28	713.31	713.31	600.00	11
