37
idx	RT	PRT	ST	amb_id
36	706.81	706.81	600.00	1
35	1605.93	3105.93	600.00	4
34	3066.99	4566.99	600.00	0
26	2486.90	2486.90	600.00	11
33	1665.14	3165.14	600.00	6
18	3825.98	3825.98	600.00	3
31	1511.45	6045.78	1443.35	2
30	1643.77	3143.77	600.00	10
12	2574.48	2574.48	600.00	7
11	322.59	2790.35	600.00	4
10	4879.91	21019.65	600.00	8
9	557.09	6557.09	2041.98	1
8	1769.27	7077.08	2890.01	0
7	3129.52	3129.52	1995.91	6
6	1977.16	9408.63	600.00	10
5	1041.58	2541.58	600.00	2
4	5043.39	20173.56	600.00	3
3	1530.50	12122.01	1615.46	5
32	849.94	849.94	600.00	7
2	1804.35	13217.38	3342.46	9
1	797.90	797.90	600.00	1
0	1144.92	6079.68	600.00	0
29	2379.80	9519.19	600.00	9
13	1075.31	1075.31	600.00	11
15	542.79	3671.16	600.00	2
14	941.49	5265.97	600.00	4
17	1530.31	1530.31	600.00	5
16	936.89	5247.58	600.00	10
19	856.49	4925.95	600.00	2
20	672.30	672.30	600.00	4
24	926.45	6926.45	1340.72	11
22	693.30	693.30	600.00	1
21	1124.08	5996.31	600.00	10
23	1063.39	4253.56	1451.48	4
25	1723.37	7723.37	600.00	1
27	898.91	5095.62	600.00	2
28	2072.46	2072.46	600.00	5
