37
idx	RT	PRT	ST	amb_id
36	752.61	752.61	600.00	25
35	676.60	676.60	600.00	1
34	1270.66	1270.66	600.00	11
33	531.67	531.67	600.00	25
32	463.01	463.01	600.00	15
31	687.76	2751.03	1443.35	12
30	1511.99	3011.99	600.00	18
29	886.52	3546.07	600.00	17
12	518.70	518.70	600.00	21
11	437.35	1749.41	600.00	1
10	1136.70	4546.81	600.00	3
9	319.78	319.78	2041.98	22
8	473.09	1892.36	2890.01	14
6	1249.01	4996.04	600.00	11
7	1002.81	1002.81	1995.91	12
5	1217.09	1217.09	600.00	13
4	579.85	3819.42	600.00	18
3	560.14	2240.57	1615.46	10
2	1554.52	6218.09	3342.46	24
1	1588.45	1588.45	600.00	15
0	1008.76	4035.04	600.00	11
13	538.06	538.06	600.00	25
14	272.03	1088.13	600.00	23
15	163.27	653.07	600.00	15
16	211.56	846.25	600.00	11
17	893.37	893.37	600.00	15
18	478.51	478.51	600.00	17
19	472.97	1891.89	600.00	1
20	443.28	443.28	600.00	4
21	475.74	1902.97	600.00	11
22	718.76	718.76	600.00	25
23	433.95	1735.81	1451.48	2
24	829.96	829.96	1340.72	10
25	110.59	110.59	600.00	12
26	190.06	190.06	600.00	3
27	622.95	2491.78	600.00	21
28	829.23	829.23	600.00	7
