37
idx	RT	PRT	ST	amb_id
36	802.65	2302.65	600.00	4
35	1156.60	2656.60	600.00	0
34	2645.87	4145.87	600.00	6
33	2453.12	2453.12	600.00	7
32	1326.26	2826.26	600.00	2
31	1063.41	4253.66	1443.35	10
30	3104.17	3104.17	600.00	9
29	2473.97	9895.87	600.00	11
12	518.70	518.70	600.00	1
11	507.10	2028.41	600.00	5
10	1110.27	4441.10	600.00	11
9	515.12	515.12	2041.98	4
8	438.19	7752.78	2890.01	9
7	1193.63	7193.63	1995.91	3
6	1236.73	4946.93	600.00	7
5	1041.58	2541.58	600.00	2
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	797.90	797.90	600.00	11
0	1008.76	4035.04	600.00	1
13	3190.43	4690.43	600.00	6
14	4805.15	20720.61	600.00	8
15	1282.37	6629.49	600.00	10
16	258.34	1033.37	600.00	7
17	656.89	2156.89	600.00	2
18	3132.78	3132.78	600.00	1
19	745.94	2983.76	600.00	11
20	443.28	6443.28	600.00	5
21	447.64	1790.57	600.00	7
22	1458.71	2958.71	600.00	2
23	1055.25	4220.99	1451.48	4
24	1803.98	7803.98	1340.72	3
25	880.35	880.35	600.00	10
26	1480.53	2980.53	600.00	0
27	1774.52	7098.07	600.00	5
28	834.50	834.50	600.00	7
