37
idx	RT	PRT	ST	amb_id
36	648.13	648.13	600.00	5
35	492.06	492.06	600.00	3
34	215.75	215.75	600.00	9
33	660.54	660.54	600.00	11
32	544.99	544.99	600.00	3
31	602.67	2410.67	1443.35	14
30	597.71	597.71	600.00	17
29	677.72	2710.86	600.00	15
12	518.70	518.70	600.00	11
11	507.10	2028.41	600.00	15
10	1136.70	4546.81	600.00	13
9	319.78	319.78	2041.98	2
8	473.09	1892.36	2890.01	4
5	747.79	747.79	600.00	1
7	1226.11	1226.11	1995.91	14
6	1236.73	4946.93	600.00	7
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	0
2	1173.74	4694.98	3342.46	10
1	1692.83	1692.83	600.00	9
0	1008.76	4035.04	600.00	1
13	538.06	538.06	600.00	5
14	272.03	1088.13	600.00	3
15	192.51	770.03	600.00	9
16	199.91	799.63	600.00	7
17	554.98	554.98	600.00	1
18	478.51	478.51	600.00	17
19	647.34	2589.34	600.00	11
20	523.87	523.87	600.00	12
21	501.84	2007.38	600.00	7
22	82.72	82.72	600.00	3
23	433.95	1735.81	1451.48	0
24	760.78	760.78	1340.72	2
26	1672.35	1672.35	600.00	5
25	202.32	202.32	600.00	14
27	745.02	2980.08	600.00	1
28	591.58	591.58	600.00	9
