37
idx	RT	PRT	ST	amb_id
35	4228.53	4228.53	600.00	11
36	1183.81	2683.81	600.00	2
34	966.13	966.13	600.00	9
33	1756.75	3256.75	600.00	0
30	3842.46	3842.46	600.00	1
28	3682.39	3682.39	600.00	7
32	1550.14	1550.14	600.00	5
20	2674.92	2674.92	600.00	10
12	539.39	539.39	600.00	11
11	619.60	2478.38	600.00	9
10	1136.70	4546.81	600.00	3
8	644.74	2578.95	2890.01	2
14	1290.99	5163.94	600.00	1
1	1737.64	1737.64	600.00	1
7	1226.11	1226.11	1995.91	4
6	1236.73	4946.93	600.00	7
5	529.13	529.13	600.00	11
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
31	1424.92	5699.67	1443.35	8
0	1008.76	4035.04	600.00	1
29	2483.11	9932.44	600.00	3
9	1781.73	1781.73	2041.98	10
15	1622.17	6488.69	600.00	7
16	1812.69	8750.75	600.00	8
17	2863.87	4363.87	600.00	6
18	2962.36	2962.36	600.00	11
19	755.08	3020.33	600.00	3
21	2013.83	8055.34	600.00	9
26	742.43	742.43	600.00	5
13	3119.33	3119.33	600.00	1
23	1880.50	7521.99	1451.48	4
25	334.30	334.30	600.00	0
22	1582.61	1582.61	600.00	7
27	1250.70	6502.80	600.00	0
24	1517.00	1517.00	1340.72	2
