37
idx	RT	PRT	ST	amb_id
36	417.21	417.21	600.00	5
35	546.04	546.04	600.00	11
34	434.76	434.76	600.00	15
33	582.37	582.37	600.00	23
32	106.55	106.55	600.00	11
31	517.37	2069.47	1443.35	0
30	602.11	602.11	600.00	17
29	697.94	2791.76	600.00	7
12	980.19	980.19	600.00	5
11	384.10	1536.40	600.00	3
10	994.11	3976.45	600.00	21
9	319.78	319.78	2041.98	2
8	473.09	1892.36	2890.01	4
7	652.98	652.98	1995.91	20
6	1236.73	4946.93	600.00	7
5	595.35	595.35	600.00	11
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	797.90	797.90	600.00	11
0	1008.76	4035.04	600.00	1
13	538.06	538.06	600.00	15
14	272.03	1088.13	600.00	13
15	567.97	2271.90	600.00	11
16	202.41	809.63	600.00	7
17	1298.08	1298.08	600.00	11
18	478.51	478.51	600.00	17
19	614.15	2456.59	600.00	21
20	443.28	443.28	600.00	14
21	423.76	1695.05	600.00	7
22	82.72	82.72	600.00	13
23	433.95	1735.81	1451.48	12
24	348.79	348.79	1340.72	24
25	334.30	334.30	600.00	0
26	306.97	306.97	600.00	23
27	656.57	2626.27	600.00	21
28	804.05	804.05	600.00	3
