37
idx	RT	PRT	ST	amb_id
36	1279.24	2779.24	600.00	10
35	1640.33	1640.33	600.00	5
34	1417.36	1417.36	600.00	1
33	2217.20	2217.20	600.00	7
32	1990.16	3490.16	600.00	8
31	1370.14	5480.56	1443.35	2
30	2623.05	4123.05	600.00	0
29	2731.04	10924.16	600.00	11
12	3714.70	5214.70	600.00	8
11	507.10	2028.41	600.00	5
10	901.22	5104.90	600.00	2
9	557.09	6557.09	2041.98	11
8	406.82	7627.29	2890.01	3
7	1226.11	1226.11	1995.91	4
6	1236.73	4946.93	600.00	7
5	1510.19	1510.19	600.00	9
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	797.90	797.90	600.00	11
0	1008.76	4035.04	600.00	1
13	1075.31	1075.31	600.00	1
14	4038.78	17655.12	600.00	6
15	1282.37	6629.49	600.00	10
16	258.34	1033.37	600.00	7
17	1157.16	1157.16	600.00	5
18	3258.03	3258.03	600.00	9
19	715.18	4360.72	600.00	2
20	2475.35	8475.35	600.00	7
21	2465.07	9860.28	600.00	1
22	693.30	693.30	600.00	11
23	1880.50	7521.99	1451.48	4
24	1612.43	1612.43	1340.72	10
25	334.30	334.30	600.00	0
26	1964.27	1964.27	600.00	5
27	757.60	4530.40	600.00	2
28	2950.43	2950.43	600.00	3
