37
idx	RT	PRT	ST	amb_id
36	179.33	179.33	600.00	1
35	642.62	642.62	600.00	29
34	2086.87	2086.87	600.00	21
33	452.19	452.19	600.00	11
32	286.78	286.78	600.00	29
31	1125.54	4502.16	1443.35	10
30	597.71	597.71	600.00	27
29	671.98	2687.91	600.00	7
12	518.70	518.70	600.00	21
11	384.10	1536.40	600.00	23
10	994.11	3976.45	600.00	1
9	319.78	319.78	2041.98	12
8	473.09	1892.36	2890.01	24
7	1226.11	1226.11	1995.91	4
6	1236.73	4946.93	600.00	7
5	2524.66	2524.66	600.00	17
4	579.85	3819.42	600.00	28
3	560.14	2240.57	1615.46	0
2	1173.74	4694.98	3342.46	10
1	1692.83	1692.83	600.00	29
0	1008.76	4035.04	600.00	11
13	538.06	538.06	600.00	15
14	272.03	1088.13	600.00	3
15	192.51	770.03	600.00	29
16	258.34	1033.37	600.00	7
17	1616.79	1616.79	600.00	25
18	478.51	478.51	600.00	27
19	913.98	3655.92	600.00	29
20	523.87	523.87	600.00	22
21	447.64	1790.57	600.00	7
22	265.96	265.96	600.00	11
23	454.20	1816.80	1451.48	14
24	443.10	443.10	1340.72	2
25	942.28	942.28	600.00	12
26	742.43	742.43	600.00	15
27	599.91	2399.64	600.00	1
28	1214.69	1214.69	600.00	17
