37
idx	RT	PRT	ST	amb_id
36	179.33	1679.33	600.00	2
35	527.09	2027.09	600.00	0
34	2086.87	3586.87	600.00	4
33	452.19	452.19	600.00	1
32	407.27	1907.27	600.00	0
31	705.94	2823.76	1443.35	12
30	1002.64	1002.64	600.00	7
29	886.52	5046.07	600.00	8
12	518.70	518.70	600.00	1
11	322.59	2790.35	600.00	4
10	1110.27	4441.10	600.00	11
9	452.98	6452.98	2041.98	13
8	406.82	7627.29	2890.01	3
7	1002.81	1002.81	1995.91	12
6	1236.73	4946.93	600.00	7
5	1041.58	2541.58	600.00	2
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	797.90	797.90	600.00	11
0	1008.76	4035.04	600.00	1
13	538.06	538.06	600.00	5
14	784.33	3137.34	600.00	9
15	1271.86	6587.44	600.00	10
16	201.15	804.58	600.00	7
17	656.89	2156.89	600.00	2
18	478.51	1978.51	600.00	8
19	472.97	3391.89	600.00	4
20	837.38	6837.38	600.00	5
21	481.56	1926.23	600.00	7
22	274.02	274.02	600.00	1
23	465.31	7861.23	1451.48	9
24	977.44	6977.44	1340.72	11
25	98.86	98.86	600.00	12
26	723.17	723.17	600.00	13
27	712.48	4349.93	600.00	2
28	1376.59	2876.59	600.00	6
