37
idx	RT	PRT	ST	amb_id
36	1561.98	1561.98	600.00	9
35	1578.44	1578.44	600.00	1
34	1580.97	1580.97	600.00	3
30	4503.38	4503.38	600.00	7
25	3935.47	3935.47	600.00	4
28	4831.61	4831.61	600.00	5
32	1639.18	1639.18	600.00	1
33	1341.04	1341.04	600.00	9
10	1574.14	6296.57	600.00	5
7	4749.82	4749.82	1995.91	8
9	820.55	6820.55	2041.98	9
8	473.09	1892.36	2890.01	4
14	1322.79	5291.17	600.00	1
1	1737.64	1737.64	600.00	1
6	1236.73	4946.93	600.00	7
5	1217.09	1217.09	600.00	3
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	0
15	718.30	2873.21	600.00	3
2	1471.31	5885.26	3342.46	2
31	1447.44	5789.77	1443.35	2
0	1008.76	4035.04	600.00	1
29	1694.19	6776.75	600.00	3
11	2968.04	11872.17	600.00	7
16	1933.20	9232.79	600.00	6
17	560.49	2060.49	600.00	0
21	1470.17	5880.69	600.00	3
23	1195.14	10780.54	1451.48	5
12	2587.40	4087.40	600.00	0
26	89.82	89.82	600.00	1
19	1762.00	7048.01	600.00	9
27	834.90	4839.61	600.00	2
22	1771.64	1771.64	600.00	1
24	1345.35	1345.35	1340.72	4
13	3780.25	3780.25	600.00	7
18	3843.27	5343.27	600.00	6
20	3012.97	3012.97	600.00	0
