37
idx	RT	PRT	ST	amb_id
36	882.85	882.85	600.00	15
35	398.47	398.47	600.00	3
34	1501.71	1501.71	600.00	7
33	405.51	405.51	600.00	11
32	180.48	180.48	600.00	13
31	459.96	1839.85	1443.35	14
30	935.48	2435.48	600.00	6
28	877.82	877.82	600.00	1
12	508.64	508.64	600.00	9
11	507.10	2028.41	600.00	15
10	1136.70	4546.81	600.00	3
9	319.78	319.78	2041.98	2
8	644.74	2578.95	2890.01	12
6	1249.01	4996.04	600.00	1
7	1226.11	1226.11	1995.91	14
5	529.13	529.13	600.00	11
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	0
2	1554.52	6218.09	3342.46	4
1	1692.83	1692.83	600.00	9
0	1008.76	4035.04	600.00	1
29	507.24	2028.97	600.00	9
13	538.06	538.06	600.00	5
14	272.03	1088.13	600.00	13
15	333.33	1333.33	600.00	11
16	211.56	846.25	600.00	1
17	2310.68	2310.68	600.00	7
18	887.25	2387.25	600.00	8
19	797.61	3190.44	600.00	13
20	914.76	914.76	600.00	10
21	490.97	1963.87	600.00	1
22	969.30	969.30	600.00	11
24	1968.63	1968.63	1340.72	0
23	859.90	3439.62	1451.48	2
26	1907.06	1907.06	600.00	15
25	202.32	202.32	600.00	14
27	919.13	3676.53	600.00	3
