37
idx	RT	PRT	ST	amb_id
36	76.40	1576.40	600.00	20
35	755.87	755.87	600.00	11
34	1903.73	3403.73	600.00	24
33	1534.22	1534.22	600.00	19
32	14.78	14.78	600.00	21
31	2250.15	9000.62	1607.45	2
30	1131.61	2631.61	600.00	18
29	811.23	4744.94	600.00	16
12	723.44	723.44	600.00	5
11	236.09	2444.35	600.00	14
10	696.57	2786.28	600.00	23
9	290.04	290.04	2065.12	10
8	502.69	8010.74	3485.68	25
7	466.09	466.09	2061.81	20
6	793.38	3173.51	600.00	7
5	901.16	901.16	600.00	1
4	460.75	3342.99	600.00	18
3	253.24	1012.95	1701.91	12
2	570.61	8282.45	3381.75	21
1	200.91	200.91	600.00	1
0	3165.52	12662.08	600.00	5
13	485.92	1985.92	600.00	4
14	1728.25	8413.00	600.00	0
15	284.11	1136.44	600.00	13
16	250.22	1000.88	600.00	7
17	1118.65	2618.65	600.00	14
18	388.17	1888.17	600.00	6
19	145.32	581.27	600.00	1
20	518.97	518.97	600.00	2
21	1181.63	4726.51	600.00	17
22	204.84	204.84	600.00	3
23	1259.11	11036.43	1613.88	29
24	701.45	6701.45	1357.90	9
25	1752.69	7752.69	600.00	21
26	352.04	1852.04	600.00	22
27	2110.38	9941.54	600.00	20
28	1010.43	1010.43	600.00	27
