37
idx	RT	PRT	ST	amb_id
36	142.56	142.56	600.00	21
35	1705.12	1705.12	600.00	7
34	813.92	813.92	600.00	5
33	347.28	347.28	600.00	11
32	227.42	227.42	600.00	7
31	1785.03	7140.12	1241.17	18
30	1567.73	1567.73	600.00	13
29	881.79	3527.17	600.00	15
12	2382.41	2382.41	600.00	3
11	3235.35	12941.41	600.00	15
10	558.19	2232.77	600.00	23
9	457.45	457.45	2540.89	14
8	277.42	1109.68	2885.22	4
7	727.42	727.42	2059.48	2
6	1480.32	5921.28	600.00	7
5	766.73	766.73	600.00	19
4	1044.63	5678.53	600.00	18
3	1114.93	4459.72	2358.45	20
2	1565.86	6263.45	4151.67	24
1	3052.85	3052.85	600.00	9
0	2303.78	9215.12	600.00	5
13	738.77	738.77	600.00	25
14	480.43	3421.70	600.00	22
15	971.18	5384.73	600.00	10
16	143.45	573.82	600.00	7
17	4422.20	4422.20	600.00	1
18	5778.13	5778.13	600.00	3
19	501.06	2004.23	600.00	11
20	1084.39	1084.39	600.00	0
21	291.75	1167.00	600.00	9
22	571.68	571.68	600.00	13
23	215.00	859.98	1541.75	22
24	1317.52	1317.52	1403.84	20
25	2775.93	2775.93	600.00	14
26	1425.18	1425.18	600.00	25
27	535.23	2140.94	600.00	21
28	592.61	592.61	600.00	5
