37
idx	RT	PRT	ST	amb_id
36	1788.28	1788.28	600.00	25
35	4801.44	6301.44	600.00	22
34	98.21	98.21	600.00	17
33	712.43	712.43	600.00	15
32	395.71	1895.71	600.00	0
31	1223.58	4894.31	1462.75	24
30	478.17	478.17	600.00	7
29	274.67	1098.67	600.00	27
12	737.38	737.38	600.00	15
11	316.91	2767.64	600.00	12
10	1343.64	6874.55	600.00	14
9	1885.69	7885.69	2420.47	3
8	178.20	6712.81	3071.62	9
7	1606.04	7606.04	2272.25	25
6	2689.84	10759.37	600.00	21
5	1027.31	2527.31	600.00	22
4	535.62	3642.46	600.00	8
3	364.56	1458.25	1829.49	0
2	1190.08	10760.30	3843.21	23
1	3931.02	3931.02	600.00	13
0	1724.06	6896.25	600.00	5
13	1206.80	1206.80	600.00	29
14	283.49	2633.98	600.00	2
15	424.23	3196.90	600.00	22
16	1818.59	8774.34	600.00	12
17	2416.49	3916.49	600.00	0
18	2112.45	3612.45	600.00	16
19	2754.19	11016.78	600.00	19
20	420.02	420.02	600.00	24
21	1073.00	4292.00	600.00	17
22	2041.18	3541.18	600.00	2
23	2388.02	15552.10	1826.24	5
24	648.28	6648.28	1467.67	29
25	968.87	6968.87	600.00	11
26	606.42	606.42	600.00	13
27	111.90	447.59	600.00	1
28	1107.29	2607.29	600.00	6
