37
idx	RT	PRT	ST	amb_id
36	2245.08	2245.08	600.00	5
33	5255.84	5255.84	600.00	11
35	1404.83	2904.83	600.00	12
34	1250.09	2750.09	600.00	6
29	4961.10	19844.40	600.00	7
32	468.48	1968.48	600.00	12
30	3154.68	3154.68	600.00	13
31	722.21	2888.85	1681.72	4
12	323.41	323.41	600.00	3
11	43.81	175.24	600.00	15
10	1415.17	5660.69	600.00	13
9	114.27	6114.27	1813.50	11
8	1736.55	6946.21	2718.41	14
7	1354.09	1354.09	3491.95	4
1	1445.82	1445.82	600.00	5
6	2564.17	11756.67	600.00	0
5	2165.33	2165.33	600.00	9
4	2315.93	9263.73	600.00	7
3	354.06	1416.23	1351.09	10
2	3778.03	15112.12	4170.09	12
0	1028.97	4115.90	600.00	5
13	1807.77	1807.77	600.00	5
14	416.05	3164.20	600.00	2
15	681.80	2727.20	600.00	1
16	2364.18	10956.71	600.00	6
17	2979.81	4479.81	600.00	8
18	1268.89	1268.89	600.00	3
19	277.30	2609.20	600.00	4
20	152.46	152.46	600.00	2
21	374.80	2999.20	600.00	0
22	249.95	249.95	600.00	15
23	480.13	1920.50	2207.77	10
25	477.02	6477.02	600.00	1
26	169.13	169.13	600.00	13
27	269.17	1076.68	600.00	11
28	2014.04	2014.04	600.00	15
24	1039.76	1039.76	1206.01	2
