37
idx	RT	PRT	ST	amb_id
36	729.53	2229.53	600.00	0
35	662.13	2162.13	600.00	20
34	1688.47	3188.47	600.00	12
33	1070.24	2570.24	600.00	0
32	662.32	662.32	600.00	11
30	3731.52	5231.52	600.00	10
31	1876.97	13507.88	1286.41	5
29	498.29	1993.15	600.00	7
12	1601.21	3101.21	600.00	4
11	908.81	5135.23	600.00	14
10	369.53	2978.12	600.00	0
9	278.86	278.86	3198.31	10
8	1048.92	4195.66	2981.60	12
7	3360.32	9360.32	3098.11	21
6	1680.03	8220.13	600.00	20
5	8276.59	8276.59	600.00	11
4	232.25	2428.99	600.00	8
3	1540.22	12160.88	2227.35	1
2	2590.96	10363.84	4151.67	6
1	2284.35	2284.35	600.00	13
0	2452.68	9810.72	600.00	23
13	2264.25	3764.25	600.00	22
14	436.64	1746.58	600.00	3
15	569.86	3779.45	600.00	2
16	81.12	1824.50	600.00	20
17	2205.16	3705.16	600.00	8
18	3095.93	4595.93	600.00	20
19	503.72	2014.88	600.00	1
20	5038.77	11038.77	600.00	17
21	2193.32	10273.30	600.00	14
22	3980.18	5480.18	600.00	16
23	3038.50	18154.00	1451.28	13
24	7151.40	7151.40	1749.22	18
25	1982.17	1982.17	600.00	10
27	550.77	2203.09	600.00	9
28	1661.21	1661.21	600.00	19
26	895.68	895.68	600.00	1
