37
idx	RT	PRT	ST	amb_id
36	157.14	157.14	600.00	21
35	2844.00	2844.00	600.00	13
34	301.47	301.47	600.00	17
33	244.96	244.96	600.00	5
32	296.86	296.86	600.00	1
31	1459.80	5839.20	1835.31	0
30	2550.37	2550.37	600.00	19
29	275.34	1101.36	600.00	7
12	2382.41	2382.41	600.00	13
11	3235.35	12941.41	600.00	25
10	558.19	2232.77	600.00	23
9	292.52	292.52	2540.89	2
8	277.42	1109.68	2885.22	14
7	910.14	910.14	2059.48	4
6	2019.97	8079.86	600.00	11
5	201.06	201.06	600.00	1
4	1044.63	5678.53	600.00	8
3	1114.93	4459.72	2358.45	10
2	1565.86	6263.45	4151.67	24
1	3663.40	3663.40	600.00	7
0	2303.78	9215.12	600.00	5
13	753.33	753.33	600.00	9
14	1208.71	4834.86	600.00	5
15	688.04	2752.16	600.00	21
16	1180.62	4722.48	600.00	17
17	1262.31	1262.31	600.00	19
18	3254.14	4754.14	600.00	16
19	859.89	3439.58	600.00	13
20	1084.39	1084.39	600.00	10
21	397.47	1589.89	600.00	11
22	1094.65	2594.65	600.00	20
23	253.02	1012.07	1697.54	2
24	703.59	703.59	1433.60	12
25	2256.21	2256.21	600.00	0
26	308.11	308.11	600.00	3
27	698.72	2794.89	600.00	23
28	3753.30	3753.30	600.00	25
